param_type,width_multiplier,step,rng_seed,conv_layers.0,conv_layers.1,conv_layers.2,logits
muP_SSM,1,1,100404,0.0011640787,0.0046815476,0.0024546906,0.009362329
muP_SSM,1,10,100404,0.011316988,0.051082253,0.032414913,0.12688816
muP_SSM,1,100,100404,0.20212488,2.7612255,6.287572,112.640274
muP_SSM,1,1,681526,0.0015625154,0.0024012192,0.0014545182,0.0082056075
muP_SSM,1,10,681526,0.014857631,0.025740687,0.015173994,0.09638965
muP_SSM,1,100,681526,0.32070526,1.1285428,2.3622515,51.391575
muP_SSM,1,1,323688,0.0008794134,0.0040391833,0.0012351314,0.007491097
muP_SSM,1,10,323688,0.009290276,0.03202145,0.013501305,0.080595754
muP_SSM,1,100,323688,0.25882292,1.3592106,3.3540413,59.79308
muP_SSM,1,1,326432,0.0008538096,0.002857757,0.0019239533,0.0092971325
muP_SSM,1,10,326432,0.009396401,0.026132053,0.017632771,0.09388844
muP_SSM,1,100,326432,0.16487618,1.6457919,6.188011,125.44986
muP_SSM,1,1,847974,0.0007616424,0.001878527,0.0014503611,0.0074392483
muP_SSM,1,10,847974,0.0069293245,0.021080917,0.016288295,0.090883754
muP_SSM,1,100,847974,0.16230069,1.3580389,6.979534,135.52481
muP_SSM,1,1,501950,0.0009508121,0.004662802,0.0018439938,0.011024654
muP_SSM,1,10,501950,0.008694984,0.04755565,0.027889442,0.15582553
muP_SSM,1,100,501950,0.1564821,2.2833414,16.77876,359.59418
muP_SSM,1,1,729293,0.0007072196,0.002648007,0.0015437519,0.0072337687
muP_SSM,1,10,729293,0.006609155,0.0225923,0.01553183,0.084328845
muP_SSM,1,100,729293,0.10751763,0.934427,3.704566,78.74121
muP_SSM,1,1,830064,0.00081133505,0.002436605,0.0013966695,0.007745251
muP_SSM,1,10,830064,0.0067907893,0.026436435,0.016374119,0.08162843
muP_SSM,1,100,830064,0.121964775,1.1886334,6.3189044,121.39332
muP_SSM,1,1,433236,0.0009375374,0.0018851168,0.0011190136,0.007329926
muP_SSM,1,10,433236,0.008549054,0.019955875,0.011701115,0.08267945
muP_SSM,1,100,433236,0.1752188,1.4475602,5.152013,96.67921
muP_SSM,1,1,154621,0.0012071753,0.003359619,0.0017364402,0.011501223
muP_SSM,1,10,154621,0.011441617,0.037731696,0.026922151,0.16228488
muP_SSM,1,100,154621,0.19625364,2.1121373,13.720808,283.46664
muP_SSM,2,1,100404,0.0010470204,0.0038901896,0.0015109563,0.0071562063
muP_SSM,2,10,100404,0.009417532,0.037412927,0.01973249,0.09503425
