param_type,width_multiplier,step,rng_seed,conv_layers.0,conv_layers.1,conv_layers.2,logits
muP_SSM,1,1,100404,0.13953032,0.07410858,0.03204328,0.03617957
muP_SSM,1,10,100404,0.14737144,0.11648351,0.053646877,0.08134626
muP_SSM,1,100,100404,0.3373121,2.823933,6.3022842,112.594734
muP_SSM,1,1,681526,0.11281568,0.044353087,0.031427532,0.07253426
muP_SSM,1,10,681526,0.11638501,0.04888584,0.042955995,0.1607183
muP_SSM,1,100,681526,0.40119037,1.1385893,2.3902292,51.455902
muP_SSM,1,1,323688,0.14739084,0.034954324,0.032652125,0.08519133
muP_SSM,1,10,323688,0.15170202,0.045982424,0.037776396,0.15829599
muP_SSM,1,100,323688,0.38865796,1.3685335,3.3795185,59.87078
muP_SSM,1,1,326432,0.0920725,0.033941388,0.035350516,0.08348054
muP_SSM,1,10,326432,0.09554514,0.044170544,0.03667355,0.0011107698
muP_SSM,1,100,326432,0.23558608,1.670513,6.2172246,125.35708
muP_SSM,1,1,847974,0.092101835,0.04635031,0.026699059,0.033316743
muP_SSM,1,10,847974,0.09666269,0.060129885,0.03645048,0.050127763
muP_SSM,1,100,847974,0.22859682,1.392937,6.99904,135.48405
muP_SSM,1,1,501950,0.1301616,0.040613722,0.038690377,0.049632885
muP_SSM,1,10,501950,0.13614446,0.07507506,0.058093727,0.19443375
muP_SSM,1,100,501950,0.28454944,2.3159885,16.806162,359.63278
muP_SSM,1,1,729293,0.07999938,0.042938486,0.021051195,0.05383928
muP_SSM,1,10,729293,0.08081997,0.043692343,0.033197977,0.13093436
muP_SSM,1,100,729293,0.16981073,0.9593997,3.722965,78.78782
muP_SSM,1,1,830064,0.10000072,0.032007508,0.028738592,0.09487642
muP_SSM,1,10,830064,0.10294404,0.04519951,0.03234461,0.020993248
muP_SSM,1,100,830064,0.21000025,1.2153081,6.3315907,121.290695
muP_SSM,1,1,433236,0.07246685,0.031960588,0.029274993,0.037858658
muP_SSM,1,10,433236,0.07667254,0.03938717,0.035375617,0.03749087
muP_SSM,1,100,433236,0.22601949,1.4711891,5.1674795,96.63402
muP_SSM,1,1,154621,0.12979314,0.05161821,0.04067398,0.14589584
muP_SSM,1,10,154621,0.13584371,0.07802659,0.065403596,0.2966795
muP_SSM,1,100,154621,0.30210918,2.1569867,13.758561,283.60104
muP_SSM,2,1,100404,0.11670975,0.041588362,0.023593461,0.018389137
muP_SSM,2,10,100404,0.12208408,0.06190458,0.038911574,0.069488905
muP_SSM,2,100,100404,0.28995225,1.6359751,6.609749,133.83754
muP_SSM,2,1,681526,0.123870976,0.04954256,0.02427715,0.05251645
muP_SSM,2,10,681526,0.12790641,0.06499589,0.037717473,0.14094995
muP_SSM,2,100,681526,0.34749058,1.9379346,6.9191294,135.2969
muP_SSM,2,1,323688,0.13517424,0.038519178,0.025748875,0.075018525
muP_SSM,2,10,323688,0.13894522,0.055200484,0.036944367,0.15905601
muP_SSM,2,100,323688,0.37225175,2.2827647,6.4936876,125.069046
muP_SSM,2,1,326432,0.083527505,0.03530094,0.024659706,0.037077982
muP_SSM,2,10,326432,0.08754913,0.05047198,0.033914026,0.044312444
muP_SSM,2,100,326432,0.23443203,1.3772013,5.653619,113.1638
muP_SSM,2,1,847974,0.09914151,0.043350227,0.022230001,0.013887102
muP_SSM,2,10,847974,0.10387284,0.06070822,0.037580125,0.08478978
muP_SSM,2,100,847974,0.2488336,1.5489655,9.050394,184.78218
muP_SSM,2,1,501950,0.10806753,0.03371464,0.025505556,0.0166655
muP_SSM,2,10,501950,0.11091879,0.04593506,0.035329036,0.1005093
muP_SSM,2,100,501950,0.22001447,1.5458773,9.739425,201.00711
muP_SSM,2,1,729293,0.0980507,0.032497484,0.021845872,0.0354571
muP_SSM,2,10,729293,0.098686375,0.04455433,0.027745299,0.113956586
muP_SSM,2,100,729293,0.18791658,1.6196189,4.7407174,95.24428
muP_SSM,2,1,830064,0.08033471,0.029543785,0.02346763,0.056455996
muP_SSM,2,10,830064,0.08115936,0.03478888,0.025796698,0.005313862
muP_SSM,2,100,830064,0.19014023,0.47341922,1.5402491,28.843115
muP_SSM,2,1,433236,0.10605909,0.039946992,0.022225492,0.020918753
muP_SSM,2,10,433236,0.10856574,0.05369066,0.03225129,0.06322026
muP_SSM,2,100,433236,0.2946528,2.3222055,10.425726,205.56427
muP_SSM,2,1,154621,0.13103685,0.043047927,0.021379452,0.08132006
muP_SSM,2,10,154621,0.13579524,0.053702537,0.03059556,0.17128415
muP_SSM,2,100,154621,0.28831452,1.4548402,7.9136004,153.77443
muP_SSM,4,1,100404,0.12005941,0.029150112,0.017729037,0.021091267
muP_SSM,4,10,100404,0.122055985,0.045744676,0.025977504,0.04616658
muP_SSM,4,100,100404,0.2603962,1.4380163,4.855449,97.867584
muP_SSM,4,1,681526,0.11861877,0.03244977,0.016283877,0.033686962
muP_SSM,4,10,681526,0.122083254,0.04418237,0.02310697,0.09569562
muP_SSM,4,100,681526,0.33931217,1.8511676,5.854214,117.70962
muP_SSM,4,1,323688,0.121353105,0.040130164,0.019371241,0.04173283
muP_SSM,4,10,323688,0.124263994,0.057213925,0.028293777,0.11457306
muP_SSM,4,100,323688,0.33688214,2.002554,7.0261993,138.67542
muP_SSM,4,1,326432,0.089640275,0.029985508,0.014391363,0.031450145
muP_SSM,4,10,326432,0.09119183,0.039595116,0.021870686,0.02711374
muP_SSM,4,100,326432,0.22744706,1.7364706,7.4504046,145.18507
muP_SSM,4,1,847974,0.09804945,0.03830494,0.016657732,0.019306056
muP_SSM,4,10,847974,0.101394415,0.05585242,0.026330903,0.05350583
muP_SSM,4,100,847974,0.23633286,1.8989071,8.32436,167.77339
muP_SSM,4,1,501950,0.10061157,0.030514345,0.01725959,0.012612132
muP_SSM,4,10,501950,0.10273117,0.043356355,0.023482313,0.077341296
muP_SSM,4,100,501950,0.22735958,1.5270656,8.448441,172.26683
muP_SSM,4,1,729293,0.0920923,0.026079865,0.015640864,0.026695693
muP_SSM,4,10,729293,0.09405623,0.036985323,0.021621864,0.08779697
muP_SSM,4,100,729293,0.20204583,1.0844696,3.396712,67.70474
muP_SSM,4,1,830064,0.079036325,0.027884742,0.019243378,0.022784065
muP_SSM,4,10,830064,0.08107154,0.039027292,0.024292145,0.042743556
muP_SSM,4,100,830064,0.19420534,1.16914,4.9062376,99.12146
muP_SSM,4,1,433236,0.10526349,0.034656268,0.017433472,0.01908699
muP_SSM,4,10,433236,0.10655573,0.04621489,0.026085466,0.05360941
muP_SSM,4,100,433236,0.23244554,1.430978,5.756131,115.9243
muP_SSM,4,1,154621,0.11389181,0.03575035,0.016960304,0.053570554
muP_SSM,4,10,154621,0.118663155,0.056564786,0.028684624,0.13812324
muP_SSM,4,100,154621,0.25957575,1.8909014,9.163529,186.38905
muP_SSM,8,1,100404,0.11219928,0.031816695,0.0153496545,0.009041887
muP_SSM,8,10,100404,0.115328744,0.049245358,0.02529011,0.05988658
muP_SSM,8,100,100404,0.25334492,1.5685985,5.484239,108.03223
muP_SSM,8,1,681526,0.13234429,0.04130979,0.015896909,0.029370658
muP_SSM,8,10,681526,0.13599077,0.057728123,0.027329953,0.10538976
muP_SSM,8,100,681526,0.3573803,1.9783711,7.9743843,161.3181
muP_SSM,8,1,323688,0.11967911,0.036467575,0.013816015,0.035518453
muP_SSM,8,10,323688,0.12302014,0.050592013,0.0224673,0.10174905
muP_SSM,8,100,323688,0.310275,1.6927294,7.011838,137.04913
muP_SSM,8,1,326432,0.09893831,0.02764738,0.011794284,0.02735568
muP_SSM,8,10,326432,0.10089744,0.03588144,0.017152892,0.024166811
muP_SSM,8,100,326432,0.2373558,1.4391164,6.735634,128.01933
muP_SSM,8,1,847974,0.10545716,0.031416073,0.012850693,0.008923883
muP_SSM,8,10,847974,0.109387845,0.04720514,0.023731448,0.058611672
muP_SSM,8,100,847974,0.25456557,1.3444448,4.9201465,98.50744
muP_SSM,8,1,501950,0.10129458,0.028536767,0.01272309,0.010014358
muP_SSM,8,10,501950,0.10277024,0.0396384,0.019205729,0.06620598
muP_SSM,8,100,501950,0.23669466,1.488583,6.2273226,124.75483
muP_SSM,8,1,729293,0.09611969,0.029074144,0.011302872,0.022661708
muP_SSM,8,10,729293,0.09808439,0.0388779,0.019365817,0.07890026
muP_SSM,8,100,729293,0.21226123,1.1123654,3.3823223,66.03595
muP_SSM,8,1,830064,0.08486649,0.023279564,0.012024399,0.020281313
muP_SSM,8,10,830064,0.08605514,0.033049233,0.018074613,0.031259634
muP_SSM,8,100,830064,0.19187975,0.94741786,3.274688,66.30928
muP_SSM,8,1,433236,0.10326538,0.02984219,0.014209911,0.018376317
muP_SSM,8,10,433236,0.10586069,0.04154698,0.020941935,0.04496678
muP_SSM,8,100,433236,0.25593096,1.5635871,6.3059583,124.3668
muP_SSM,8,1,154621,0.1118319,0.031063287,0.012934903,0.038157642
muP_SSM,8,10,154621,0.11435134,0.043784272,0.021536,0.103238985
muP_SSM,8,100,154621,0.26835597,1.624115,6.2608714,124.86163
muP_SSM,16,1,100404,0.107197486,0.029341532,0.011424117,0.0057609202
muP_SSM,16,10,100404,0.11033758,0.04462838,0.020478914,0.05792713
muP_SSM,16,100,100404,0.253499,1.619974,5.8591948,116.61491
muP_SSM,16,1,681526,0.12222354,0.03458925,0.012627876,0.021382283
muP_SSM,16,10,681526,0.12684391,0.051114134,0.02283867,0.0890793
muP_SSM,16,100,681526,0.36118162,2.0397074,8.318512,166.58765
muP_SSM,16,1,323688,0.11595724,0.034853194,0.0114449,0.024735691
muP_SSM,16,10,323688,0.1191276,0.05045095,0.021219423,0.090161026
muP_SSM,16,100,323688,0.3020392,1.8126858,7.6546464,151.21844
muP_SSM,16,1,326432,0.09373442,0.028810315,0.010079632,0.01621246
muP_SSM,16,10,326432,0.09611439,0.040663827,0.018171182,0.03844163
muP_SSM,16,100,326432,0.22749406,1.5043185,6.4170256,127.663475
muP_SSM,16,1,847974,0.10541859,0.030430779,0.010589926,0.008249188
muP_SSM,16,10,847974,0.108827,0.047476146,0.021257535,0.057280626
muP_SSM,16,100,847974,0.24981101,1.4959704,6.5905833,129.02776
muP_SSM,16,1,501950,0.09941986,0.029776359,0.010147147,0.009062175
muP_SSM,16,10,501950,0.10199891,0.042950872,0.01827208,0.06697924
muP_SSM,16,100,501950,0.23779541,1.3462254,5.3114614,103.64584
muP_SSM,16,1,729293,0.09662574,0.027180905,0.009794708,0.01552544
muP_SSM,16,10,729293,0.098694995,0.041387588,0.01900005,0.07289906
muP_SSM,16,100,729293,0.21472165,1.2977724,4.9311438,98.26804
muP_SSM,16,1,830064,0.09088076,0.02601126,0.009813595,0.00992954
muP_SSM,16,10,830064,0.09317401,0.03878573,0.018110786,0.045258917
muP_SSM,16,100,830064,0.20672391,1.0282694,4.2044067,84.5131
muP_SSM,16,1,433236,0.11143881,0.033782028,0.011367198,0.010098027
muP_SSM,16,10,433236,0.11488502,0.04867963,0.020109348,0.05562165
muP_SSM,16,100,433236,0.27212548,1.6911359,6.7579765,133.34076
muP_SSM,16,1,154621,0.10592242,0.031405363,0.010756303,0.028645875
muP_SSM,16,10,154621,0.10824579,0.044431813,0.020847064,0.09475723
