param_type,width_multiplier,step,rng_seed,conv_layers.0,conv_layers.1,conv_layers.2,logits
muP_SSM,1,1,248248,0.11673552,0.04039245,0.029592127,0.087953754
muP_SSM,1,10,248248,0.11671572,0.03951784,0.031584606,0.19108643
muP_SSM,1,100,248248,0.12446773,0.056978073,0.18449944,3.442022
muP_SSM,1,1,855255,0.09825627,0.03651025,0.029950837,0.07429879
muP_SSM,1,10,855255,0.098357596,0.037450515,0.030464945,0.18128872
muP_SSM,1,100,855255,0.11356488,0.09054142,0.33094612,10.973607
muP_SSM,1,1,371749,0.15699506,0.033704128,0.028313993,0.036382277
muP_SSM,1,10,371749,0.15713482,0.033916634,0.028294344,0.06235758
muP_SSM,1,100,371749,nan,nan,nan,nan
muP_SSM,1,1,361168,0.06882685,0.0351418,0.022415157,0.03318365
muP_SSM,1,10,361168,0.06891032,0.03445641,0.025646478,0.13800536
muP_SSM,1,100,361168,0.072366215,0.050105628,0.12910335,2.366109
muP_SSM,1,1,935601,0.0917513,0.04068583,0.024961907,0.030878967
muP_SSM,1,10,935601,0.09186871,0.03995816,0.026066083,0.13163975
muP_SSM,1,100,935601,0.10865492,0.14648227,0.26478285,6.4994483
muP_SSM,1,1,579757,0.0803069,0.034021966,0.037686832,0.056163393
muP_SSM,1,10,579757,0.080327645,0.033803757,0.0380491,0.1667185
muP_SSM,1,100,579757,0.092160046,0.093801536,0.29870227,8.694643
muP_SSM,1,1,33933,0.08593823,0.027160306,0.033369023,0.08216868
muP_SSM,1,10,33933,0.085894756,0.02715421,0.036307253,0.18080463
muP_SSM,1,100,33933,0.1195948,0.2508192,0.64438856,14.379857
muP_SSM,1,1,105533,0.12800188,0.037745584,0.035939332,0.024871934
muP_SSM,1,10,105533,0.12811393,0.037652627,0.038395192,0.08887918
muP_SSM,1,100,105533,nan,nan,nan,nan
muP_SSM,1,1,868204,0.08354041,0.024084872,0.034931537,0.053941816
muP_SSM,1,10,868204,0.08348942,0.023637747,0.034705974,0.047755066
muP_SSM,1,100,868204,0.083120674,0.029524954,0.11558021,1.7111552
muP_SSM,1,1,31785,0.07858867,0.03751984,0.02740417,0.061046787
muP_SSM,1,10,31785,0.078609124,0.03721368,0.027308509,0.15680598
muP_SSM,1,100,31785,0.08087798,0.040558133,0.09637356,1.902577
muP_SSM,2,1,248248,0.11110854,0.035957444,0.021963667,0.05454846
muP_SSM,2,10,248248,0.111018546,0.035982106,0.022314984,0.15110925
muP_SSM,2,100,248248,0.121581785,0.090155564,0.1523647,3.0717216
muP_SSM,2,1,855255,0.092980735,0.030827213,0.022580532,0.048430864
muP_SSM,2,10,855255,0.093103066,0.030935846,0.023360174,0.1491238
muP_SSM,2,100,855255,0.11869515,0.12846267,0.25999492,7.3825307
muP_SSM,2,1,371749,0.12847035,0.040485874,0.021484016,0.018306272
muP_SSM,2,10,371749,0.12845467,0.04045882,0.022517279,0.078878224
muP_SSM,2,100,371749,nan,nan,nan,nan
