param_type,width_multiplier,rng_seed,conv_layers.0,conv_layers.1,conv_layers.2,logits
muP_3,1,0,0.094757594,0.049962915,0.032393925,0.10106781
muP_3,1,1,0.11735828,0.06214165,0.039707772,0.21981356
muP_3,1,2,0.13006158,0.07373549,0.04717274,0.25395384
muP_3,1,3,0.11415257,0.07284267,0.03827239,0.24618365
muP_3,2,0,0.10287712,0.06888952,0.04038969,0.17576571
muP_3,2,1,0.12013073,0.08285495,0.049856167,0.2795834
muP_3,2,2,0.11947102,0.07479047,0.044427678,0.26349002
muP_3,2,3,0.1249327,0.07283197,0.042363457,0.2476676
muP_3,4,0,0.10690392,0.06534093,0.031539172,0.13738535
muP_3,4,1,0.11216489,0.05954614,0.03430387,0.19399375
muP_3,4,2,0.117528506,0.08320102,0.04856111,0.27523068
muP_3,4,3,0.12271052,0.06886286,0.03559705,0.22732353
muP_3,8,0,0.11063802,0.07171838,0.038688593,0.18747331
muP_3,8,1,0.11996617,0.06572732,0.033396207,0.19016793
muP_3,8,2,0.1270708,0.08470189,0.04669912,0.26297033
muP_3,8,3,0.11812812,0.07079057,0.036713425,0.21584499
muP_3,16,0,0.11729136,0.070399314,0.0358763,0.17765085
muP_3,16,1,0.11672014,0.07310838,0.037479874,0.21928895
muP_3,16,2,0.12310888,0.078279026,0.041165315,0.23111379
muP_3,16,3,0.1162412,0.07090699,0.035640005,0.20893131
muP_3,32,0,0.11697037,0.07074877,0.035472285,0.1834549
muP_3,32,1,0.11834993,0.071670495,0.037689984,0.21880051
muP_3,32,2,0.117705934,0.06893018,0.035261817,0.19674718
muP_3,32,3,0.118125215,0.07455888,0.039146647,0.22615345
muP_3,64,0,0.114759386,0.06850923,0.034794576,0.18170522
muP_3,64,1,0.11537738,0.06894643,0.034529556,0.19669494
muP_3,64,2,0.11576696,0.070073165,0.035291977,0.19500868
muP_3,64,3,0.11712923,0.07080825,0.035892643,0.20144539
standard,1,0,0.094757594,0.049962908,0.032393925,0.10106781
standard,1,1,0.11735828,0.062141657,0.039707772,0.21981356
standard,1,2,0.13006158,0.07373549,0.04717274,0.25395384
standard,1,3,0.11415257,0.07284267,0.03827239,0.24618363
standard,2,0,0.102887444,0.068422064,0.039702334,0.2209129
standard,2,1,0.12006388,0.08279892,0.048606116,0.32530248
standard,2,2,0.119374834,0.07471073,0.0436533,0.31340092
standard,2,3,0.1248611,0.07255528,0.041043237,0.28919113
standard,4,0,0.10680426,0.06473338,0.030217005,0.22792976
standard,4,1,0.11212991,0.058871325,0.03276217,0.27363884
standard,4,2,0.11747603,0.08272676,0.047187082,0.41620144
standard,4,3,0.1226734,0.06856095,0.03462521,0.34407687
standard,8,0,0.1105001,0.07121742,0.0371679,0.39894626
standard,8,1,0.119919814,0.06506363,0.032143645,0.36767876
standard,8,2,0.12707324,0.084488675,0.0454313,0.5319537
standard,8,3,0.11803443,0.06913872,0.03466291,0.41862306
standard,16,0,0.11711784,0.06902283,0.03363599,0.5043841
standard,16,1,0.11657407,0.0717381,0.035672735,0.58195376
standard,16,2,0.1230017,0.07704984,0.039208233,0.6150968
standard,16,3,0.11615679,0.07028139,0.033788648,0.558894
standard,32,0,0.11686545,0.0691858,0.033318758,0.7086604
standard,32,1,0.11820143,0.070128724,0.03571822,0.79645544
standard,32,2,0.11753687,0.067581005,0.032972217,0.70983124
standard,32,3,0.11799863,0.073104605,0.036905788,0.8205603
standard,64,0,0.1145567,0.06687765,0.03244658,0.95458305
standard,64,1,0.115147665,0.067048974,0.03211017,0.98233914
standard,64,2,0.11553695,0.06803695,0.0327788,0.9692213
standard,64,3,0.11690827,0.06877199,0.033458717,1.0067066
