param_type,width_multiplier,step,rng_seed,conv_layers.0,conv_layers.1,conv_layers.2,logits
muP_SSM,1,1,851885,0.10735241,0.0413649,0.02608531,0.08306441
muP_SSM,1,10,851885,0.111578315,0.056436304,0.036073312,0.17023492
muP_SSM,1,100,851885,0.24081096,0.46190542,1.9613161,40.177883
muP_SSM,1,1,433942,0.084043995,0.0388854,0.02276723,0.05242893
muP_SSM,1,10,433942,0.085227825,0.056454387,0.036323734,0.1371854
muP_SSM,1,100,433942,0.16565163,1.4965948,4.2135587,75.64131
muP_SSM,1,1,209743,0.09849785,0.031148447,0.031467848,0.03375754
muP_SSM,1,10,209743,0.101064876,0.043373622,0.036197837,0.1179792
muP_SSM,1,100,209743,0.21780452,1.4031639,7.303343,152.28308
muP_SSM,1,1,10368,0.122749716,0.04650978,0.01819329,0.07509646
muP_SSM,1,10,10368,0.12872238,0.061509296,0.023654737,0.14108019
muP_SSM,1,100,10368,0.390832,1.7035466,8.103233,158.65192
muP_SSM,1,1,203110,0.100966975,0.04961798,0.030663319,0.023793012
muP_SSM,1,10,203110,0.10348326,0.06047612,0.040204193,0.052572813
muP_SSM,1,100,203110,0.24486373,1.9624686,15.158579,295.0097
muP_SSM,1,1,611666,0.076591425,0.038575046,0.02707488,0.030315321
muP_SSM,1,10,611666,0.079436906,0.045865826,0.030943593,0.051605456
muP_SSM,1,100,611666,0.22516127,1.0430468,5.348398,104.081215
muP_SSM,1,1,97320,0.08246609,0.034773596,0.030521948,0.022411888
muP_SSM,1,10,97320,0.084963106,0.035216514,0.03686451,0.09721148
muP_SSM,1,100,97320,0.19158185,1.050924,4.7804165,85.50137
muP_SSM,1,1,80432,0.06442154,0.033780444,0.026032815,0.0011912701
muP_SSM,1,10,80432,0.06524119,0.039765313,0.028255476,0.057740536
muP_SSM,1,100,80432,0.19287516,1.0613507,5.5566654,108.64551
muP_SSM,1,1,422947,0.12257704,0.03874358,0.026404835,0.052990474
muP_SSM,1,10,422947,0.1269694,0.05690116,0.03405743,0.039986487
muP_SSM,1,100,422947,0.29272532,2.2631524,8.070931,157.81949
muP_SSM,1,1,618956,0.119585454,0.037928566,0.023225006,0.02346857
muP_SSM,1,10,618956,0.12068972,0.04136636,0.025732573,0.04022401
muP_SSM,1,100,618956,0.25944936,1.637681,3.7637181,70.74179
muP_SSM,2,1,851885,0.101414815,0.035696495,0.021431578,0.059241705
muP_SSM,2,10,851885,0.10511911,0.05224425,0.027167885,0.13649833
muP_SSM,2,100,851885,0.23838636,1.1160666,6.0533266,116.82371
muP_SSM,2,1,433942,0.08366013,0.040631916,0.018197887,0.043420948
muP_SSM,2,10,433942,0.08672124,0.05965511,0.032245293,0.1267828
muP_SSM,2,100,433942,0.18158571,1.347143,3.6849546,70.730225
muP_SSM,2,1,209743,0.09632314,0.03382242,0.023358865,0.014952885
muP_SSM,2,10,209743,0.09834023,0.0423584,0.028351523,0.09098039
muP_SSM,2,100,209743,0.1996799,0.85500944,3.828211,75.52162
muP_SSM,2,1,10368,0.11523447,0.028876793,0.016438477,0.053976256
muP_SSM,2,10,10368,0.11948688,0.045348566,0.023492405,0.11852716
muP_SSM,2,100,10368,0.3261271,2.074288,8.797683,173.74251
muP_SSM,2,1,203110,0.10401266,0.041463055,0.020495854,0.028402584
muP_SSM,2,10,203110,0.105451055,0.0428625,0.025600543,0.031701904
