param_type,width_multiplier,step,rng_seed,layers.0,layers.1,logits
muP_SSM,2,1,190996,0.287961,0.2097882,0.1708751
muP_SSM,2,10,190996,0.8864101,0.41501164,0.6964493
muP_SSM,2,100,190996,0.8543544,0.66929734,1.6446408
muP_SSM,2,1,24252,0.18498628,0.16576341,0.033803307
muP_SSM,2,10,24252,0.6740016,0.33369648,0.32401145
muP_SSM,2,100,24252,0.8411747,0.5038811,0.7566649
muP_SSM,2,1,832162,0.15223381,0.14981945,0.13727367
muP_SSM,2,10,832162,0.6584546,0.39582604,0.38561895
muP_SSM,2,100,832162,0.8370569,0.55183005,1.2084517
muP_SSM,2,1,672165,0.23587924,0.14625546,0.33395076
muP_SSM,2,10,672165,0.81111515,0.37818152,0.7720642
muP_SSM,2,100,672165,0.71254253,0.57663786,1.5240614
muP_SSM,2,1,274641,0.1370221,0.1497702,0.16453815
muP_SSM,2,10,274641,0.71633136,0.50020707,0.39648667
muP_SSM,2,100,274641,0.810993,0.6667298,1.3100367
muP_SSM,2,1,527917,0.18717113,0.14192188,0.044787623
muP_SSM,2,10,527917,0.701487,0.34829316,0.4143472
muP_SSM,2,100,527917,0.7930119,0.44465834,0.7875774
muP_SSM,2,1,212386,0.18410563,0.13071458,0.05753673
muP_SSM,2,10,212386,0.6229385,0.25939134,0.36454302
muP_SSM,2,100,212386,0.8516872,0.531556,1.3357849
muP_SSM,2,1,149552,0.19495127,0.18633829,0.08938913
muP_SSM,2,10,149552,0.7878828,0.40722364,0.4986463
muP_SSM,2,100,149552,0.7560641,0.6234569,1.4134417
muP_SSM,2,1,603113,0.14575104,0.17923085,0.10278131
muP_SSM,2,10,603113,0.58467114,0.3388382,0.16140506
muP_SSM,2,100,603113,0.79510105,0.53906465,0.83311605
muP_SSM,2,1,998391,0.15041766,0.12803933,0.1494833
muP_SSM,2,10,998391,0.5181184,0.3223044,0.2727984
muP_SSM,2,100,998391,0.8077936,0.528291,1.1421131
muP_SSM,4,1,190996,0.23014261,0.14910401,0.1017195
muP_SSM,4,10,190996,0.8474933,0.39212275,0.49145237
muP_SSM,4,100,190996,0.88705623,0.47758746,1.1665075
muP_SSM,4,1,24252,0.15780568,0.121914595,0.004159587
muP_SSM,4,10,24252,0.5738702,0.32629403,0.3372784
muP_SSM,4,100,24252,0.8467814,0.55566895,1.0464112
muP_SSM,4,1,832162,0.1857359,0.15791908,0.057984643
muP_SSM,4,10,832162,0.68885684,0.40732092,0.49293232
muP_SSM,4,100,832162,0.81468666,0.5948398,1.3510303
muP_SSM,4,1,672165,0.23553982,0.12806864,0.19982463
muP_SSM,4,10,672165,0.86989576,0.4432664,0.58493495
muP_SSM,4,100,672165,0.84976363,0.55052304,1.2142867
muP_SSM,4,1,274641,0.18843465,0.139873,0.07172465
muP_SSM,4,10,274641,0.71792996,0.37298018,0.38755202
muP_SSM,4,100,274641,0.81842315,0.5877921,1.2183161
muP_SSM,4,1,527917,0.17641273,0.106191784,0.03328849
muP_SSM,4,10,527917,0.632161,0.28486943,0.31935275
muP_SSM,4,100,527917,0.80943716,0.43909052,0.73838115
muP_SSM,4,1,212386,0.13003206,0.110585034,0.0018969253
muP_SSM,4,10,212386,0.5512167,0.29120198,0.34317908
