param_type,width_multiplier,step,rng_seed,layers.0,layers.1,logits
muP_SSM,2,1,849143,0.23085481,0.17500606,0.15688252
muP_SSM,2,10,849143,0.22601792,0.17414042,0.13168457
muP_SSM,2,100,849143,0.24363977,0.18463081,0.12658225
muP_SSM,2,1,803066,0.10109497,0.13659158,0.21945488
muP_SSM,2,10,803066,0.0990889,0.13760188,0.2378149
muP_SSM,2,100,803066,0.1108997,0.15153992,0.41483992
muP_SSM,2,1,412444,0.13772768,0.1418494,0.027820475
muP_SSM,2,10,412444,0.13776094,0.14441276,0.04294908
muP_SSM,2,100,412444,0.14649913,0.17048623,0.19320258
muP_SSM,2,1,750208,0.20059575,0.21243891,0.04911141
muP_SSM,2,10,750208,0.19983757,0.21378963,0.06687986
muP_SSM,2,100,750208,0.21496415,0.23422845,0.2516015
muP_SSM,2,1,473653,0.10338148,0.13228145,0.034433153
muP_SSM,2,10,473653,0.101884805,0.13087985,0.012858771
muP_SSM,2,100,473653,0.12789676,0.13752154,0.21036136
muP_SSM,2,1,526475,0.086798206,0.17728508,0.03866473
muP_SSM,2,10,526475,0.086953245,0.17750856,0.052965894
muP_SSM,2,100,526475,0.109210745,0.18840803,0.20026857
muP_SSM,2,1,613172,0.19934109,0.20596053,0.15695475
muP_SSM,2,10,613172,0.19707227,0.20656867,0.13875988
muP_SSM,2,100,613172,0.20299427,0.23125383,0.04870414
muP_SSM,2,1,584290,0.11836997,0.1584885,0.20421827
muP_SSM,2,10,584290,0.12286884,0.1581263,0.22348015
muP_SSM,2,100,584290,0.17929603,0.18755208,0.4273638
muP_SSM,2,1,566224,0.18173799,0.18809219,0.15154465
muP_SSM,2,10,566224,0.18211606,0.19126002,0.13094565
muP_SSM,2,100,566224,0.23479724,0.22264773,0.08336271
muP_SSM,2,1,117093,0.09591091,0.12448135,0.16761792
muP_SSM,2,10,117093,0.0964136,0.12525398,0.18481982
muP_SSM,2,100,117093,0.11812717,0.13827306,0.35809532
muP_SSM,4,1,849143,0.18908486,0.15241398,0.15937568
muP_SSM,4,10,849143,0.18639086,0.15253466,0.1338907
muP_SSM,4,100,849143,0.21179721,0.17007294,0.13194269
muP_SSM,4,1,803066,0.11042787,0.11931735,0.2083364
muP_SSM,4,10,803066,0.11404135,0.12095912,0.2230902
muP_SSM,4,100,803066,0.15049931,0.14697418,0.37201434
muP_SSM,4,1,412444,0.14327395,0.14135593,0.06768021
muP_SSM,4,10,412444,0.14061007,0.14018658,0.046827108
muP_SSM,4,100,412444,0.14320129,0.15655011,0.16471171
muP_SSM,4,1,750208,0.16376048,0.13883212,0.08883463
muP_SSM,4,10,750208,0.16601515,0.14089774,0.11297926
muP_SSM,4,100,750208,0.22053748,0.17605181,0.34689355
muP_SSM,4,1,473653,0.13301367,0.09789285,0.055930603
muP_SSM,4,10,473653,0.13469417,0.097896256,0.070334874
muP_SSM,4,100,473653,0.1612161,0.117825955,0.21633431
muP_SSM,4,1,526475,0.11185409,0.11494877,0.060723566
muP_SSM,4,10,526475,0.11167362,0.115062706,0.07383208
muP_SSM,4,100,526475,0.11832985,0.11772562,0.20431718
muP_SSM,4,1,613172,0.20444411,0.16343683,0.13502945
muP_SSM,4,10,613172,0.20244215,0.16177756,0.11538074
muP_SSM,4,100,613172,0.22669761,0.1670282,0.08148566
muP_SSM,4,1,584290,0.1521368,0.10381809,0.11439099
muP_SSM,4,10,584290,0.15268192,0.10491687,0.12784058
muP_SSM,4,100,584290,0.16136177,0.1201758,0.2630379
muP_SSM,4,1,566224,0.18807532,0.14416346,0.15329713
muP_SSM,4,10,566224,0.19053018,0.1439655,0.13612714
muP_SSM,4,100,566224,0.22730455,0.16220933,0.036060713
muP_SSM,4,1,117093,0.12557735,0.1170925,0.10935063
muP_SSM,4,10,117093,0.12757821,0.11596052,0.1264542
muP_SSM,4,100,117093,0.14759432,0.120385125,0.29772338
muP_SSM,8,1,849143,0.21175897,0.119414985,0.080653965
muP_SSM,8,10,849143,0.21181358,0.11609152,0.060567763
muP_SSM,8,100,849143,0.23415923,0.14168204,0.14353324
muP_SSM,8,1,803066,0.12599477,0.09121347,0.09027621
muP_SSM,8,10,803066,0.12602443,0.09029077,0.1048101
muP_SSM,8,100,803066,0.13350911,0.09812894,0.25183028
muP_SSM,8,1,412444,0.16546273,0.13406757,0.011649966
muP_SSM,8,10,412444,0.16494057,0.13504714,0.008612381
muP_SSM,8,100,412444,0.1929724,0.15803787,0.20994754
muP_SSM,8,1,750208,0.2138913,0.14692141,0.0018519275
muP_SSM,8,10,750208,0.21265632,0.14425024,0.021477252
muP_SSM,8,100,750208,0.2336897,0.14735793,0.2171196
muP_SSM,8,1,473653,0.13751458,0.09588997,0.0072193034
muP_SSM,8,10,473653,0.13656262,0.094829045,0.011361256
muP_SSM,8,100,473653,0.14575744,0.10203628,0.19483767
muP_SSM,8,1,526475,0.110982455,0.0877841,0.066345155
muP_SSM,8,10,526475,0.11259028,0.088010475,0.08446157
muP_SSM,8,100,526475,0.14499722,0.10823714,0.2714659
muP_SSM,8,1,613172,0.19807401,0.12804602,0.06296873
muP_SSM,8,10,613172,0.19802323,0.12810996,0.045124553
muP_SSM,8,100,613172,0.2163778,0.14763005,0.13299644
muP_SSM,8,1,584290,0.15016595,0.10018037,0.05110033
muP_SSM,8,10,584290,0.14978026,0.10065264,0.06604235
muP_SSM,8,100,584290,0.1559038,0.10987151,0.21500526
muP_SSM,8,1,566224,0.18360123,0.1161,0.05897662
muP_SSM,8,10,566224,0.18572706,0.117834136,0.040338933
muP_SSM,8,100,566224,0.22566454,0.14671157,0.14783353
muP_SSM,8,1,117093,0.12162774,0.097534694,0.081960246
muP_SSM,8,10,117093,0.12290074,0.09881811,0.097546145
muP_SSM,8,100,117093,0.14519756,0.11843419,0.25552207
muP_SSM,16,1,849143,0.20912912,0.11744944,0.030121898
muP_SSM,16,10,849143,0.20992747,0.1196341,0.0056015886
muP_SSM,16,100,849143,0.25429773,0.17386615,0.23626152
muP_SSM,16,1,803066,0.12947428,0.085979074,0.056189366
muP_SSM,16,10,803066,0.12940945,0.084926434,0.07204001
muP_SSM,16,100,803066,0.13704647,0.09394857,0.23598726
muP_SSM,16,1,412444,0.16289699,0.10933471,0.017154494
muP_SSM,16,10,412444,0.16470242,0.11080619,0.03501694
muP_SSM,16,100,412444,0.19672033,0.14122191,0.21303491
muP_SSM,16,1,750208,0.22357021,0.13373367,0.041214976
muP_SSM,16,10,750208,0.22510558,0.13376187,0.06217881
muP_SSM,16,100,750208,0.25553334,0.16177943,0.27346268
muP_SSM,16,1,473653,0.15407416,0.09373811,0.02283447
muP_SSM,16,10,473653,0.15423022,0.0940658,0.03771393
muP_SSM,16,100,473653,0.16759834,0.10885417,0.1870018
muP_SSM,16,1,526475,0.10615319,0.07745583,0.031375855
muP_SSM,16,10,526475,0.10576667,0.07762139,0.04505399
muP_SSM,16,100,526475,0.11104869,0.08664071,0.18173246
muP_SSM,16,1,613172,0.19250146,0.11831196,0.0153005235
muP_SSM,16,10,613172,0.19421455,0.11969343,0.00414424
muP_SSM,16,100,613172,0.22459778,0.15287796,0.19516228
muP_SSM,16,1,584290,0.1437256,0.09114995,0.05488269
muP_SSM,16,10,584290,0.14423501,0.091027334,0.07004063
muP_SSM,16,100,584290,0.15536727,0.09837407,0.22228912
muP_SSM,16,1,566224,0.18462318,0.1083844,0.025911912
muP_SSM,16,10,566224,0.18642066,0.10992092,0.00763363
muP_SSM,16,100,566224,0.21824709,0.14312986,0.1779914
muP_SSM,16,1,117093,0.113923565,0.0732794,0.051553413
muP_SSM,16,10,117093,0.113865085,0.07288368,0.06588915
muP_SSM,16,100,117093,0.12123611,0.083495095,0.21072677
muP_SSM,32,1,849143,0.19645925,0.113316074,0.058078658
muP_SSM,32,10,849143,0.19569138,0.11316726,0.03534079
muP_SSM,32,100,849143,0.22493413,0.14369997,0.1910003
muP_SSM,32,1,803066,0.12556502,0.07512524,0.050572358
muP_SSM,32,10,803066,0.12644045,0.075479425,0.06664799
muP_SSM,32,100,803066,0.14569108,0.09742674,0.23034754
muP_SSM,32,1,412444,0.16851899,0.099410236,0.009315474
muP_SSM,32,10,412444,0.16896294,0.100646675,0.01254709
muP_SSM,32,100,412444,0.19711798,0.13948776,0.23076262
muP_SSM,32,1,750208,0.22962809,0.13702586,0.038858287
muP_SSM,32,10,750208,0.2290121,0.13726258,0.06354331
muP_SSM,32,100,750208,0.25712878,0.17301685,0.3062458
muP_SSM,32,1,473653,0.14949694,0.08882329,0.016453505
muP_SSM,32,10,473653,0.14947312,0.089328006,0.03173296
muP_SSM,32,100,473653,0.16052398,0.10654086,0.18511793
muP_SSM,32,1,526475,0.10536237,0.06861833,0.017584102
muP_SSM,32,10,526475,0.1053874,0.06781318,0.031512775
muP_SSM,32,100,526475,0.114625305,0.07412264,0.17120883
muP_SSM,32,1,613172,0.18400313,0.10810696,0.036184058
muP_SSM,32,10,613172,0.1841023,0.108468175,0.016920198
muP_SSM,32,100,613172,0.2097524,0.13796145,0.17419338
muP_SSM,32,1,584290,0.15197818,0.09236503,0.038296502
muP_SSM,32,10,584290,0.15221485,0.09251918,0.053960763
muP_SSM,32,100,584290,0.15924898,0.1076868,0.21128236
muP_SSM,32,1,566224,0.1761112,0.09946919,0.051089372
muP_SSM,32,10,566224,0.17658022,0.09926541,0.03033067
muP_SSM,32,100,566224,0.20106944,0.13182415,0.17958589
muP_SSM,32,1,117093,0.117826015,0.06835945,0.04473189
muP_SSM,32,10,117093,0.11792904,0.06854687,0.059887208
muP_SSM,32,100,117093,0.12671499,0.08597164,0.21191558
muP_SSM,64,1,849143,0.19604993,0.112053975,0.0242838
muP_SSM,64,10,849143,0.19669513,0.11279333,0.0003820639
muP_SSM,64,100,849143,0.23517932,0.16258955,0.23371524
muP_SSM,64,1,803066,0.12494026,0.07081707,0.030311504
muP_SSM,64,10,803066,0.1254707,0.07084484,0.045437794
muP_SSM,64,100,803066,0.14037737,0.08552942,0.19745278
muP_SSM,64,1,412444,0.16634558,0.10158321,0.0021438291
muP_SSM,64,10,412444,0.1672529,0.10232718,0.01740742
muP_SSM,64,100,412444,0.19594657,0.13388158,0.21277703
muP_SSM,64,1,750208,0.2178857,0.117209695,0.033844717
muP_SSM,64,10,750208,0.21908018,0.11767027,0.05766803
muP_SSM,64,100,750208,0.25657403,0.1633174,0.292284
muP_SSM,64,1,473653,0.15200715,0.08760056,0.015185622
muP_SSM,64,10,473653,0.15232249,0.08812703,0.03165337
muP_SSM,64,100,473653,0.16852939,0.108651906,0.19657895
muP_SSM,64,1,526475,0.10717446,0.06895968,0.03198709
muP_SSM,64,10,526475,0.10731275,0.06925522,0.044847958
muP_SSM,64,100,526475,0.11773933,0.0827121,0.17476487
muP_SSM,64,1,613172,0.181515,0.10349949,0.019430052
muP_SSM,64,10,613172,0.181833,0.10386115,0.0008788798
muP_SSM,64,100,613172,0.20579655,0.13601147,0.2028898
muP_SSM,64,1,584290,0.15164486,0.08992879,0.02485499
muP_SSM,64,10,584290,0.15183747,0.08991116,0.04021495
muP_SSM,64,100,584290,0.1614634,0.10370571,0.19481243
muP_SSM,64,1,566224,0.17598653,0.095300734,0.027681615
muP_SSM,64,10,566224,0.17637679,0.09576492,0.0070038317
muP_SSM,64,100,566224,0.20281449,0.12772912,0.199862
muP_SSM,64,1,117093,0.12270961,0.07471116,0.024490403
muP_SSM,64,10,117093,0.12275235,0.07459647,0.03901725
muP_SSM,64,100,117093,0.13055393,0.08511871,0.18541196
muP_SSM,128,1,849143,0.18986346,0.10860929,0.021879839
muP_SSM,128,10,849143,0.19025181,0.10889181,0.00034783687
muP_SSM,128,100,849143,0.22482528,0.14754263,0.21308437
muP_SSM,128,1,803066,0.12381672,0.072701365,0.027783722
muP_SSM,128,10,803066,0.12424831,0.07304801,0.04372205
muP_SSM,128,100,803066,0.14077517,0.09411399,0.20435503
muP_SSM,128,1,412444,0.16213076,0.09611885,0.0044384743
muP_SSM,128,10,412444,0.1623747,0.096290305,0.014135717
muP_SSM,128,100,412444,0.18559194,0.1223182,0.20011464
muP_SSM,128,1,750208,0.21569633,0.12245053,0.014016079
muP_SSM,128,10,750208,0.21598068,0.123026095,0.036452338
muP_SSM,128,100,750208,0.25323752,0.16068465,0.25928903
muP_SSM,128,1,473653,0.1545714,0.08883084,0.014397523
muP_SSM,128,10,473653,0.15521425,0.0896156,0.030613605
muP_SSM,128,100,473653,0.17261909,0.113026164,0.19438809
muP_SSM,128,1,526475,0.10710052,0.060500648,0.011772716
muP_SSM,128,10,526475,0.10707489,0.06060337,0.02543138
muP_SSM,128,100,526475,0.1162168,0.07370421,0.16288438
muP_SSM,128,1,613172,0.17797932,0.10335211,0.008594472
muP_SSM,128,10,613172,0.17817585,0.103776425,0.013276089
muP_SSM,128,100,613172,0.21297312,0.14152782,0.23139304
muP_SSM,128,1,584290,0.15050331,0.08443457,0.01622509
muP_SSM,128,10,584290,0.15062556,0.084511265,0.032120563
muP_SSM,128,100,584290,0.15945596,0.09958448,0.19257207
muP_SSM,128,1,566224,0.1718758,0.09578103,0.020868896
muP_SSM,128,10,566224,0.17188206,0.09641284,0.00047087204
muP_SSM,128,100,566224,0.19905749,0.12968215,0.20273593
muP_SSM,128,1,117093,0.118494734,0.07131395,0.022337204
muP_SSM,128,10,117093,0.11850231,0.0716116,0.03720904
muP_SSM,128,100,117093,0.12794745,0.08554109,0.1859703
muP_SSM,256,1,849143,0.1881081,0.10678124,0.017227128
muP_SSM,256,10,849143,0.18813634,0.10686994,0.004565984
muP_SSM,256,100,849143,0.22139946,0.1445995,0.2213071
muP_SSM,256,1,803066,0.12372723,0.07047205,0.017950008
muP_SSM,256,10,803066,0.12381937,0.07055403,0.03308828
muP_SSM,256,100,803066,0.13557893,0.087293014,0.18611819
muP_SSM,256,1,412444,0.16515377,0.09494277,0.0026405784
muP_SSM,256,10,412444,0.1654714,0.09513678,0.016346034
muP_SSM,256,100,412444,0.18940952,0.1224293,0.20783961
muP_SSM,256,1,750208,0.2110383,0.120647006,0.018397212
muP_SSM,256,10,750208,0.21142925,0.121177055,0.041480877
muP_SSM,256,100,750208,0.24727392,0.16027696,0.26684025
muP_SSM,256,1,473653,0.15652226,0.08825166,0.0036292986
muP_SSM,256,10,473653,0.15652676,0.08833135,0.019303838
muP_SSM,256,100,473653,0.16816562,0.10469797,0.17656836
muP_SSM,256,1,526475,0.107559666,0.062702194,0.012539057
muP_SSM,256,10,526475,0.10754866,0.06279504,0.025993615
muP_SSM,256,100,526475,0.11624363,0.07539689,0.16132858
muP_SSM,256,1,613172,0.179582,0.10117422,0.007304251
muP_SSM,256,10,613172,0.1797571,0.10196252,0.014440174
muP_SSM,256,100,613172,0.21157113,0.14036252,0.22895244
muP_SSM,256,1,584290,0.14774124,0.08115582,0.010635801
muP_SSM,256,10,584290,0.14781904,0.08125962,0.026007842
muP_SSM,256,100,584290,0.15712363,0.095434755,0.18093252
muP_SSM,256,1,566224,0.17327148,0.100003265,0.012110412
muP_SSM,256,10,566224,0.17391223,0.10024835,0.008874195
muP_SSM,256,100,566224,0.20384952,0.13400668,0.2173009
muP_SSM,256,1,117093,0.11755544,0.06763744,0.01998688
muP_SSM,256,10,117093,0.11780749,0.067964375,0.034818366
muP_SSM,256,100,117093,0.12912017,0.083128214,0.18395287
muP_3,2,1,849143,0.23085481,0.17500606,0.15688252
muP_3,2,10,849143,0.22601792,0.17414042,0.13168457
muP_3,2,100,849143,0.24363977,0.18463081,0.12658225
muP_3,2,1,803066,0.10109497,0.13659158,0.21945488
muP_3,2,10,803066,0.0990889,0.13760188,0.2378149
muP_3,2,100,803066,0.1108997,0.15153992,0.41483992
muP_3,2,1,412444,0.13772768,0.1418494,0.027820475
muP_3,2,10,412444,0.13776094,0.14441276,0.04294908
muP_3,2,100,412444,0.14649913,0.17048623,0.19320258
muP_3,2,1,750208,0.20059575,0.21243891,0.04911141
muP_3,2,10,750208,0.19983757,0.21378963,0.06687986
muP_3,2,100,750208,0.21496415,0.23422845,0.2516015
muP_3,2,1,473653,0.10338148,0.13228145,0.034433153
muP_3,2,10,473653,0.101884805,0.13087985,0.012858771
muP_3,2,100,473653,0.12789676,0.13752154,0.21036136
muP_3,2,1,526475,0.086798206,0.17728508,0.03866473
muP_3,2,10,526475,0.086953245,0.17750856,0.052965894
muP_3,2,100,526475,0.109210745,0.18840803,0.20026857
muP_3,2,1,613172,0.19934109,0.20596053,0.15695475
muP_3,2,10,613172,0.19707227,0.20656867,0.13875988
muP_3,2,100,613172,0.20299427,0.23125383,0.04870414
muP_3,2,1,584290,0.11836997,0.1584885,0.20421827
muP_3,2,10,584290,0.12286884,0.1581263,0.22348015
muP_3,2,100,584290,0.17929603,0.18755208,0.4273638
muP_3,2,1,566224,0.18173799,0.18809219,0.15154465
muP_3,2,10,566224,0.18211606,0.19126002,0.13094565
muP_3,2,100,566224,0.23479724,0.22264773,0.08336271
muP_3,2,1,117093,0.09591091,0.12448135,0.16761792
muP_3,2,10,117093,0.0964136,0.12525398,0.18481982
muP_3,2,100,117093,0.11812717,0.13827306,0.35809532
muP_3,4,1,849143,0.18908486,0.15241398,0.15937568
muP_3,4,10,849143,0.18639086,0.15253466,0.1338907
muP_3,4,100,849143,0.21179721,0.17007294,0.13194269
