param_type,width_multiplier,rng_seed,layers.0,layers.1,logits
muP_3,2,0,0.94662356,0.65275156,2.0341756
muP_3,2,1,0.9063901,0.60256267,1.739005
muP_3,2,2,0.8839645,0.60049045,1.7256582
muP_3,2,3,0.9617304,0.64209604,1.9955859
muP_3,4,0,0.86556697,0.64248145,1.9878361
muP_3,4,1,0.8599901,0.60578966,1.6860484
muP_3,4,2,0.90068436,0.5727179,1.6128813
muP_3,4,3,0.8383627,0.71488863,2.2248352
muP_3,8,0,0.85965395,0.6206608,1.8714105
muP_3,8,1,0.86187744,0.6023106,1.768993
muP_3,8,2,0.88849044,0.6141522,1.8149146
muP_3,8,3,0.8806745,0.64604294,1.8972979
muP_3,16,0,0.9038305,0.6418789,1.8459094
muP_3,16,1,0.8795359,0.6064242,1.7951486
muP_3,16,2,0.859755,0.6255138,1.8334538
muP_3,16,3,0.8876022,0.656077,1.9231572
muP_3,32,0,0.8804093,0.6171633,1.8064294
muP_3,32,1,0.86111534,0.6041323,1.8028697
muP_3,32,2,0.8867072,0.6369301,1.9652683
muP_3,32,3,0.8870228,0.63432664,1.8751581
muP_3,64,0,0.8904139,0.6130613,1.7879132
muP_3,64,1,0.8766385,0.60544807,1.7789884
muP_3,64,2,0.8817291,0.6322411,1.8871394
muP_3,64,3,0.8833971,0.6250292,1.8393401
muP_3,128,0,0.87300956,0.62529045,1.8791025
muP_3,128,1,0.88236725,0.6189894,1.838109
muP_3,128,2,0.8775383,0.6260469,1.8854512
muP_3,128,3,0.8753585,0.62610245,1.9041151
muP_3,256,0,0.87720853,0.62105787,1.8741522
muP_3,256,1,0.88175213,0.61850846,1.8378332
muP_3,256,2,0.8791731,0.6203126,1.8890852
muP_3,256,3,0.8841648,0.62664354,1.8823823
standard,2,0,0.9477338,0.6636386,2.5659318
standard,2,1,0.9296283,0.63075805,2.2378192
standard,2,2,0.88730276,0.61122084,2.1885154
standard,2,3,0.9615136,0.6499779,2.4492612
standard,4,0,0.86312234,0.65669584,3.3352127
standard,4,1,0.8635235,0.6222277,2.7193465
standard,4,2,0.91118324,0.57801163,2.6707032
standard,4,3,0.83474195,0.69730043,3.6329484
standard,8,0,0.8637123,0.6314544,4.107807
standard,8,1,0.86924875,0.6108355,3.831226
standard,8,2,0.8929516,0.6257206,3.9667015
standard,8,3,0.8846785,0.6724711,4.149424
standard,16,0,0.9085405,0.66162246,5.5824285
standard,16,1,0.88086987,0.61381924,5.318409
standard,16,2,0.86722,0.6366969,5.4973474
standard,16,3,0.8906521,0.6684512,5.628634
standard,32,0,0.8778691,0.6357814,7.5536304
standard,32,1,0.86559117,0.6286242,7.4080515
standard,32,2,0.8898032,0.648036,7.963224
standard,32,3,0.8887746,0.6504203,7.625021
standard,64,0,0.89130867,0.6332436,10.215632
standard,64,1,0.8771401,0.6318437,10.109212
standard,64,2,0.88744,0.6500783,10.702068
standard,64,3,0.8819441,0.64138913,10.138556
standard,128,0,0.87483203,0.6390487,14.653381
standard,128,1,0.88628685,0.64217263,14.528563
standard,128,2,0.8818811,0.6504625,14.674965
standard,128,3,0.8766444,0.6453011,14.711933
standard,256,0,0.8800108,0.6399348,20.535217
standard,256,1,0.88782597,0.6407745,20.125275
standard,256,2,0.8796207,0.6423985,20.652573
standard,256,3,0.88701165,0.64870906,20.642557
