param_type,width_multiplier,rng_seed,layers.0,layers.1,logits
muP_3,2,0,0.9513349,0.65750945,1.959072
muP_3,2,1,0.90814793,0.6028361,1.545063
muP_3,2,2,0.8775856,0.61919,1.7136279
muP_3,2,3,0.9487527,0.65416616,1.8881195
muP_3,4,0,0.9203979,0.659948,1.9508629
muP_3,4,1,0.86576986,0.5998093,1.5591652
muP_3,4,2,0.8962877,0.5894269,1.6225746
muP_3,4,3,0.84520274,0.70647824,2.1284018
muP_3,8,0,0.8646604,0.61535287,1.8077244
muP_3,8,1,0.869922,0.6131182,1.6984371
muP_3,8,2,0.8920523,0.61635166,1.8042867
muP_3,8,3,0.89860076,0.65920067,1.8501017
muP_3,16,0,0.8837117,0.62240386,1.7847441
muP_3,16,1,0.88482016,0.60811985,1.7433662
muP_3,16,2,0.8867681,0.6211306,1.8385262
muP_3,16,3,0.8908518,0.6412569,1.8824445
muP_3,32,0,0.89596415,0.61575747,1.780229
muP_3,32,1,0.87689304,0.6041864,1.7688286
muP_3,32,2,0.89036036,0.63940006,1.9834067
muP_3,32,3,0.89523864,0.6346842,1.8459203
muP_3,64,0,0.90029097,0.61087275,1.7652285
muP_3,64,1,0.8869345,0.6059601,1.7594976
muP_3,64,2,0.8898798,0.62983406,1.8847847
muP_3,64,3,0.8905947,0.62310815,1.824074
muP_3,128,0,0.88578033,0.6259353,1.8756247
muP_3,128,1,0.8842759,0.6129261,1.8081235
muP_3,128,2,0.8828627,0.62525344,1.8888726
muP_3,128,3,0.8842155,0.62772846,1.8986006
muP_3,256,0,0.8869355,0.62107813,1.8655013
muP_3,256,1,0.8887387,0.616663,1.822346
muP_3,256,2,0.88716143,0.61902964,1.8908439
muP_3,256,3,0.88734704,0.62333906,1.8705573
standard,2,0,0.9524452,0.664057,2.4956994
standard,2,1,0.92833364,0.6295677,2.028135
standard,2,2,0.88092387,0.61962247,2.1664379
standard,2,3,0.9485358,0.65318817,2.332832
standard,4,0,0.91795325,0.67473537,3.3226879
standard,4,1,0.8693032,0.61530316,2.575844
standard,4,2,0.90331215,0.5899551,2.681445
standard,4,3,0.84549,0.69063854,3.500772
standard,8,0,0.8687186,0.62832654,4.007087
standard,8,1,0.8772933,0.6210916,3.774223
standard,8,2,0.8943902,0.626349,3.9254644
standard,8,3,0.9026048,0.6825592,4.094399
standard,16,0,0.888883,0.6387365,5.4299
standard,16,1,0.8854672,0.615872,5.2766757
standard,16,2,0.8930288,0.6325294,5.5046697
standard,16,3,0.8924757,0.65145767,5.5568185
standard,32,0,0.8927145,0.632777,7.506546
standard,32,1,0.88205355,0.62833786,7.39703
standard,32,2,0.8931742,0.6520643,8.051597
standard,32,3,0.89628524,0.6524922,7.559551
standard,64,0,0.89999473,0.6286177,10.141643
standard,64,1,0.88700336,0.6310495,10.146248
standard,64,2,0.89499474,0.64691883,10.668101
standard,64,3,0.88734317,0.63682276,10.122635
standard,128,0,0.8866674,0.6402783,14.72602
standard,128,1,0.88690853,0.6359763,14.390351
standard,128,2,0.88711774,0.6464372,14.697912
standard,128,3,0.88469267,0.6460026,14.760196
standard,256,0,0.888176,0.6376602,20.511969
standard,256,1,0.8936776,0.63785315,20.084225
standard,256,2,0.8870574,0.6397405,20.664503
standard,256,3,0.88929665,0.6432569,20.567152
