param_type,width_multiplier,rng_seed,layers.0,layers.1,logits
muP_3,2,0,0.055054493,0.05236151,0.22082853
muP_3,2,1,0.048734516,0.04570149,0.20468143
muP_3,2,2,0.03434845,0.031392388,0.16487953
muP_3,2,3,0.05003173,0.043771245,0.19876929
muP_3,4,0,0.044784006,0.042157058,0.18679404
muP_3,4,1,0.047708366,0.04998206,0.2040527
muP_3,4,2,0.038104862,0.033335816,0.17344034
muP_3,4,3,0.041136857,0.03416162,0.17553256
muP_3,8,0,0.044675373,0.0419986,0.18395248
muP_3,8,1,0.04494469,0.041838665,0.18781637
muP_3,8,2,0.042452432,0.04052021,0.18454467
muP_3,8,3,0.041590862,0.03583674,0.17681934
muP_3,16,0,0.044950113,0.0403593,0.18602808
muP_3,16,1,0.042075887,0.037873767,0.17713264
muP_3,16,2,0.041802347,0.036746584,0.17596596
muP_3,16,3,0.044265673,0.040995374,0.18358897
muP_3,32,0,0.045796193,0.042081833,0.18983671
muP_3,32,1,0.045324612,0.0422649,0.18741567
muP_3,32,2,0.048637263,0.04570394,0.20042297
muP_3,32,3,0.04635642,0.045102958,0.19430669
muP_3,64,0,0.046761453,0.044435248,0.19319132
muP_3,64,1,0.04607129,0.042157862,0.18929851
muP_3,64,2,0.046180755,0.043848433,0.19187306
muP_3,64,3,0.044077206,0.041489035,0.18461265
muP_3,128,0,0.04656519,0.043548957,0.1914901
muP_3,128,1,0.045136184,0.042637497,0.18813306
muP_3,128,2,0.045858774,0.04343182,0.19060695
muP_3,128,3,0.046786703,0.043954305,0.19177404
muP_3,256,0,0.04629545,0.043437786,0.19192445
muP_3,256,1,0.044548184,0.041906424,0.18689942
muP_3,256,2,0.04605858,0.043264054,0.19013512
muP_3,256,3,0.04585921,0.04300087,0.19022162
standard,2,0,0.07933588,0.07660954,0.34181944
standard,2,1,0.069404304,0.066577904,0.3092026
standard,2,2,0.048183955,0.044269703,0.22738503
standard,2,3,0.07208838,0.063552484,0.2993995
standard,4,0,0.08964346,0.08610539,0.4550117
standard,4,1,0.09649965,0.10038548,0.51944995
standard,4,2,0.07545811,0.0656144,0.39064515
standard,4,3,0.08232307,0.06800817,0.40052977
standard,8,0,0.13261412,0.12657547,0.8162191
standard,8,1,0.12777752,0.11794289,0.8107832
standard,8,2,0.12073514,0.112999834,0.7800318
standard,8,3,0.11931683,0.104876116,0.7412038
standard,16,0,0.17875667,0.16016263,1.5197482
standard,16,1,0.16258714,0.14751895,1.3476986
standard,16,2,0.16898134,0.15237561,1.4184124
standard,16,3,0.18762662,0.17237449,1.5745677
standard,32,0,0.26104504,0.2367149,3.105927
standard,32,1,0.26390383,0.23982799,3.0336814
standard,32,2,0.2803321,0.26643068,3.5487838
standard,32,3,0.26953,0.261245,3.2841733
standard,64,0,0.3844035,0.35604155,6.527057
standard,64,1,0.3611347,0.33133814,6.0961576
standard,64,2,0.37459254,0.35317373,6.4492254
standard,64,3,0.3633422,0.3354252,5.934278
standard,128,0,0.4800769,0.45471406,11.924681
standard,128,1,0.4774968,0.4490768,11.737338
standard,128,2,0.48106065,0.46132594,11.899534
standard,128,3,0.48232085,0.46027005,11.989954
standard,256,0,0.5690424,0.54666626,19.381124
standard,256,1,0.5677109,0.5320238,18.934011
standard,256,2,0.5814394,0.5497989,19.579418
standard,256,3,0.57629836,0.5482198,19.46135
