param_type,width_multiplier,rng_seed,layers.0,layers.1,logits
muP_3,2,0,0.16194099,0.1079524,0.106243
muP_3,2,1,0.16047266,0.11442563,0.021414049
muP_3,2,2,0.13962111,0.10795502,0.13658509
muP_3,2,3,0.1544221,0.11601658,0.16081114
muP_3,4,0,0.14869885,0.09706176,0.106232226
muP_3,4,1,0.14879525,0.108569674,0.06250885
muP_3,4,2,0.14973621,0.11105427,0.23049833
muP_3,4,3,0.14483783,0.09673883,0.06737214
muP_3,8,0,0.13647205,0.08580533,0.13855341
muP_3,8,1,0.14293581,0.10628055,0.14773977
muP_3,8,2,0.13852255,0.0973748,0.17257586
muP_3,8,3,0.14099488,0.08979124,0.10310288
muP_3,16,0,0.13800561,0.084539175,0.1323126
muP_3,16,1,0.1374568,0.090560794,0.15361339
muP_3,16,2,0.13458261,0.08515707,0.17869923
muP_3,16,3,0.14930448,0.08758229,0.13731435
muP_3,32,0,0.14297944,0.090558514,0.15812841
muP_3,32,1,0.14133596,0.08730756,0.1467163
muP_3,32,2,0.14364019,0.09150475,0.20310825
muP_3,32,3,0.15141498,0.094871536,0.16738948
muP_3,64,0,0.14031486,0.08504607,0.16981712
muP_3,64,1,0.14110076,0.08593178,0.15754549
muP_3,64,2,0.14219958,0.08851272,0.19141153
muP_3,64,3,0.1464082,0.08961043,0.16783565
muP_3,128,0,0.14579135,0.08824089,0.18981886
muP_3,128,1,0.14191256,0.08527413,0.16957736
muP_3,128,2,0.143369,0.08830849,0.19119109
muP_3,128,3,0.14613193,0.09250082,0.18657392
muP_3,256,0,0.14371109,0.08763449,0.18297026
muP_3,256,1,0.14138773,0.08809149,0.17137311
muP_3,256,2,0.14386351,0.08948676,0.1901282
muP_3,256,3,0.1432969,0.08845784,0.18677068
standard,2,0,0.17155379,0.11473607,0.21575105
standard,2,1,0.1627902,0.11736332,0.114614494
standard,2,2,0.14399002,0.11107589,0.1823065
standard,2,3,0.16872627,0.12563634,0.2812701
standard,4,0,0.16712132,0.11544703,0.3553098
standard,4,1,0.16923162,0.13099897,0.34662616
standard,4,2,0.17381343,0.12879461,0.4961161
standard,4,3,0.16200888,0.107628256,0.24489915
standard,8,0,0.1897535,0.14664745,0.76722294
standard,8,1,0.19573483,0.16080838,0.83998895
standard,8,2,0.1791126,0.14320284,0.7350018
standard,8,3,0.17709965,0.12197293,0.61116815
standard,16,0,0.2120208,0.16473997,1.3970189
standard,16,1,0.22276433,0.17639661,1.4190174
standard,16,2,0.21767911,0.1636208,1.4163779
standard,16,3,0.22936015,0.18138051,1.4805045
standard,32,0,0.29315576,0.2407285,3.0276854
standard,32,1,0.2918019,0.24707487,2.9849946
standard,32,2,0.31561235,0.27436194,3.5497406
standard,32,3,0.2996185,0.26945966,3.23183
standard,64,0,0.40830076,0.35759652,6.4475517
standard,64,1,0.37909186,0.33222753,6.035095
standard,64,2,0.40107644,0.3536396,6.430404
standard,64,3,0.3891853,0.33613235,5.90627
standard,128,0,0.5029603,0.46400356,12.017758
standard,128,1,0.49484605,0.45220625,11.72844
standard,128,2,0.49607512,0.4624608,11.890381
standard,128,3,0.50615746,0.46790645,12.041773
standard,256,0,0.58475757,0.5469809,19.353024
standard,256,1,0.58560944,0.5333549,18.892336
standard,256,2,0.5936713,0.55157924,19.563099
standard,256,3,0.59288186,0.5498853,19.519928
