param_type,width_multiplier,step,rng_seed,post_encoder,ssm_state_0,ssm_output_0,ssm_post_gelu_0,ssm_post_glu_0,output
muP_SSM,2,1,319935,0.4564461,0.019357035,0.47223392,0.12958418,0.084658876,0.14150167
muP_SSM,2,10,319935,0.4571219,0.019378789,0.4730784,0.13028143,0.08528164,0.119912416
muP_SSM,2,100,319935,0.46313584,0.019544652,0.48028597,0.1372975,0.09273374,0.088140436
muP_SSM,2,1,499896,0.48446995,0.02039455,0.4293877,0.18616134,0.07824666,0.20545788
muP_SSM,2,10,499896,0.48471186,0.02040751,0.4294148,0.18601793,0.07744966,0.1883022
muP_SSM,2,100,499896,0.48625937,0.020503867,0.43407473,0.18765667,0.07511002,0.08696554
muP_SSM,2,1,230528,0.38650775,0.008144001,0.32078984,0.21334144,0.08343605,0.181902
muP_SSM,2,10,230528,0.3863515,0.008137232,0.3209121,0.21347074,0.0832099,0.16155098
muP_SSM,2,100,230528,0.38586298,0.008101224,0.32302058,0.215348,0.08467447,0.044347238
muP_SSM,2,1,870244,0.30727404,0.0037342918,0.284391,0.08530124,0.054391295,0.19411588
muP_SSM,2,10,870244,0.3073135,0.0037331518,0.28428856,0.085280165,0.054303225,0.17850609
muP_SSM,2,100,870244,0.3072938,0.003722589,0.28431597,0.08527291,0.05338599,0.09405402
muP_SSM,2,1,303982,0.3696088,0.006495594,0.2074721,0.12320659,0.07086793,0.12569961
muP_SSM,2,10,303982,0.36960334,0.006493834,0.20736925,0.12313758,0.07017598,0.1066218
muP_SSM,2,100,303982,0.36951485,0.0064688018,0.20673265,0.12276782,0.06635041,0.05194961
muP_SSM,2,1,142925,0.29144245,0.0070979395,0.1798771,0.09802462,0.08008095,0.22485168
muP_SSM,2,10,142925,0.29097906,0.0070786923,0.17939785,0.097755075,0.079969,0.21339937
muP_SSM,2,100,142925,0.28652292,0.0069101593,0.17542386,0.095628045,0.07937435,0.14836648
muP_SSM,2,1,127652,0.27248004,0.007808591,0.23980758,0.087756515,0.05305561,0.064885475
muP_SSM,2,10,127652,0.27234173,0.007802772,0.2394414,0.087760605,0.052983988,0.057483785
muP_SSM,2,100,127652,0.26990196,0.0076968553,0.23438889,0.08780968,0.05301073,0.046818882
muP_SSM,2,1,683486,0.41215003,0.01689686,0.3048159,0.14436217,0.07598058,0.061569326
muP_SSM,2,10,683486,0.4122606,0.016903128,0.30484027,0.14438045,0.075933285,0.058758546
muP_SSM,2,100,683486,0.4129352,0.016948713,0.3052435,0.14463373,0.0762163,0.03667392
muP_SSM,2,1,645902,0.2994856,0.012717121,0.2182243,0.088038355,0.058725953,0.13548064
muP_SSM,2,10,645902,0.29984552,0.012734405,0.21865669,0.08816984,0.058709934,0.11404019
muP_SSM,2,100,645902,0.3016838,0.012865284,0.22137992,0.08931589,0.060344577,0.018740369
muP_SSM,2,1,305033,0.29245725,0.0094656,0.1903086,0.098614596,0.07408092,0.07680706
muP_SSM,2,10,305033,0.29251602,0.009466786,0.19020046,0.09856661,0.07377982,0.07089157
muP_SSM,2,100,305033,0.29264063,0.009474129,0.18954165,0.09830834,0.07202835,0.041712172
muP_SSM,4,1,319935,0.43210912,0.015843835,0.49258593,0.16117999,0.08518907,0.11677647
muP_SSM,4,10,319935,0.43255308,0.015862746,0.49337092,0.1615371,0.08521222,0.092760764
muP_SSM,4,100,319935,0.4342524,0.01596676,0.49864763,0.16467062,0.08937139,0.060378697
muP_SSM,4,1,499896,0.44905165,0.018455315,0.35539186,0.17396313,0.06629377,0.10711635
muP_SSM,4,10,499896,0.44923985,0.018464217,0.35563523,0.17418392,0.06632248,0.09946353
muP_SSM,4,100,499896,0.45038447,0.018500635,0.35887152,0.17681754,0.0667619,0.048007358
muP_SSM,4,1,230528,0.42028633,0.014859865,0.36065143,0.20431688,0.09506256,0.16696867
muP_SSM,4,10,230528,0.4202633,0.0148630375,0.36050048,0.2041981,0.094189025,0.14855446
muP_SSM,4,100,230528,0.41964585,0.014895505,0.35951814,0.20349188,0.09009632,0.045881167
muP_SSM,4,1,870244,0.37003443,0.015902655,0.32545376,0.15302512,0.075912334,0.10044874
muP_SSM,4,10,870244,0.37003836,0.015909178,0.3254496,0.1529703,0.075777136,0.09504801
muP_SSM,4,100,870244,0.36937663,0.015932815,0.32549047,0.15272768,0.07463679,0.06802956
muP_SSM,4,1,303982,0.41605136,0.013847446,0.25627103,0.1406313,0.06530044,0.066769265
muP_SSM,4,10,303982,0.41604906,0.0138490135,0.25614765,0.14057215,0.06531567,0.063089125
muP_SSM,4,100,303982,0.4157404,0.013849489,0.25512004,0.14016803,0.06646727,0.041386057
muP_SSM,4,1,142925,0.35832995,0.012815284,0.27319133,0.14008112,0.0576436,0.16592522
muP_SSM,4,10,142925,0.35834447,0.0128119765,0.27319118,0.14016567,0.05758398,0.15802245
muP_SSM,4,100,142925,0.3579711,0.01276714,0.27292347,0.1409257,0.057784405,0.11939103
muP_SSM,4,1,127652,0.3119492,0.010444979,0.22261964,0.10717879,0.05896877,0.04197375
muP_SSM,4,10,127652,0.31204256,0.010450405,0.22256422,0.10714021,0.05886449,0.039002635
muP_SSM,4,100,127652,0.31249994,0.01047209,0.22247559,0.107012615,0.058442883,0.025780564
muP_SSM,4,1,683486,0.42241132,0.022460623,0.37846938,0.15047589,0.08165639,0.028459715
muP_SSM,4,10,683486,0.42260325,0.022478243,0.37862334,0.15049072,0.081574015,0.030788967
muP_SSM,4,100,683486,0.42366168,0.022566484,0.37979904,0.15080054,0.08134733,0.037660953
muP_SSM,4,1,645902,0.31614032,0.015155611,0.29943413,0.14458622,0.08035574,0.11493364
muP_SSM,4,10,645902,0.31600517,0.015143961,0.29903728,0.14456454,0.0797645,0.09837129
muP_SSM,4,100,645902,0.31293508,0.015043627,0.2930096,0.14344348,0.07763489,0.052052658
muP_SSM,4,1,305033,0.35820046,0.016282542,0.30581072,0.18318123,0.1042537,0.039754145
muP_SSM,4,10,305033,0.3582076,0.016282389,0.3058909,0.1832738,0.10416159,0.03873103
muP_SSM,4,100,305033,0.3578549,0.01624858,0.30688184,0.18427618,0.10383113,0.039363816
muP_SSM,8,1,319935,0.50812465,0.02690098,0.5526145,0.20253043,0.09377685,0.14282043
muP_SSM,8,10,319935,0.50766045,0.026857529,0.55189854,0.20210695,0.09283706,0.12872973
muP_SSM,8,100,319935,0.50495404,0.026580239,0.5498122,0.2003265,0.09055579,0.0777376
muP_SSM,8,1,499896,0.44978815,0.023588704,0.3751347,0.18622683,0.09167133,0.09102996
muP_SSM,8,10,499896,0.4496068,0.02358623,0.37470812,0.18609095,0.09155399,0.083433576
muP_SSM,8,100,499896,0.44774786,0.023553409,0.3716909,0.18545744,0.09141612,0.033098996
muP_SSM,8,1,230528,0.37637255,0.020646373,0.3371115,0.17934132,0.0786478,0.09347413
muP_SSM,8,10,230528,0.37627077,0.020644853,0.33689207,0.17916492,0.07854674,0.08182612
muP_SSM,8,100,230528,0.37573317,0.020616544,0.3369012,0.17898472,0.079373606,0.024477996
muP_SSM,8,1,870244,0.33522165,0.016417975,0.2670403,0.124644496,0.05850728,0.09968004
muP_SSM,8,10,870244,0.3352569,0.016420975,0.26704848,0.12462873,0.058375552,0.09475001
muP_SSM,8,100,870244,0.33479404,0.016417699,0.26682568,0.12452115,0.057893265,0.068208046
muP_SSM,8,1,303982,0.43362278,0.019709213,0.33955285,0.16486399,0.08501979,0.0586507
muP_SSM,8,10,303982,0.433561,0.019707981,0.3395535,0.16488549,0.08508767,0.05127915
muP_SSM,8,100,303982,0.4322369,0.019674564,0.33949223,0.1652018,0.08682614,0.056521017
muP_SSM,8,1,142925,0.37829515,0.021246824,0.33666086,0.14772911,0.061038774,0.09250608
