param_type,width_multiplier,rng_seed,post_encoder,ssm_state_0,ssm_output_0,ssm_post_gelu_0,ssm_post_glu_0,output
muP_SSM,1,0,0.20519497,0.13761169,0.34758213,0.17161717,0.13320988,0.13965742
muP_SSM,1,1,0.33334008,0.038960908,0.3297955,0.19559059,0.11654909,0.18276553
muP_SSM,1,2,0.35552552,0.008561667,0.2009938,0.09477222,0.07232675,0.12877761
muP_SSM,2,0,0.25099814,0.13907062,0.43312088,0.17296508,0.07188575,0.21725728
muP_SSM,2,1,0.2225655,0.1267064,0.5199019,0.30298874,0.19086972,0.27290425
muP_SSM,2,2,0.20258468,0.105703376,0.41316333,0.22915515,0.12582292,0.22138502
muP_SSM,4,0,0.16749167,0.15218487,0.37009597,0.23206009,0.14737019,0.09963484
muP_SSM,4,1,0.19672006,0.0942733,0.3485248,0.1803075,0.10068858,0.08131442
muP_SSM,4,2,0.1598252,0.14069301,0.4475799,0.22707286,0.11426564,0.05450664
muP_SSM,8,0,0.18060169,0.17591706,0.65824,0.36783522,0.22597614,0.08551117
muP_SSM,8,1,0.1825951,0.13630728,0.56153655,0.32733002,0.20675266,0.03353974
muP_SSM,8,2,0.15745653,0.11833654,0.51573557,0.30813602,0.13903508,0.055782333
muP_SSM,16,0,0.1316705,0.11739644,0.49609858,0.27821493,0.18494111,0.098099254
muP_SSM,16,1,0.19695772,0.17934972,0.6821207,0.46376938,0.2672519,0.07391003
muP_SSM,16,2,0.15500066,0.11922468,0.52346253,0.32696572,0.17511684,0.0372745
muP_SSM,32,0,0.17282864,0.1264647,0.50171334,0.32362315,0.22462644,0.03543629
muP_SSM,32,1,0.15988152,0.111892946,0.4644846,0.29214025,0.18764722,0.060132105
muP_SSM,32,2,0.16884522,0.13063113,0.57658964,0.34730175,0.2642749,0.044045262
muP_SSM,64,0,0.1825072,0.13599491,0.5359015,0.35052168,0.26956406,0.033073664
muP_SSM,64,1,0.14891279,0.1451581,0.62924975,0.40305188,0.29069653,0.016038422
muP_SSM,64,2,0.17561637,0.1356789,0.6231862,0.40823227,0.27811706,0.03347344
muP_SSM,128,0,0.1784264,0.1299511,0.5539943,0.3577865,0.2875126,0.03192421
muP_SSM,128,1,0.15417673,0.12923832,0.60080755,0.3802805,0.29977888,0.046504423
muP_SSM,128,2,0.16196471,0.12690057,0.5711731,0.3798421,0.322282,0.027519343
muP_SSM,256,0,0.14235066,0.11369456,0.5988117,0.3765409,0.27039376,0.027743565
muP_SSM,256,1,0.15076776,0.109423965,0.57453966,0.37636372,0.25675827,0.03780396
muP_SSM,256,2,0.14786167,0.121928066,0.6162963,0.40341333,0.35090983,0.026182102
muP_SSM,512,0,0.13854924,0.12017963,0.6863621,0.4490648,0.33401492,0.039012484
muP_SSM,512,1,0.15697296,0.11643162,0.658202,0.42990813,0.31956878,0.028572928
muP_SSM,512,2,0.14189428,0.116952136,0.69885945,0.4499444,0.36328515,0.025411434
muP_3,1,0,0.20519497,0.13761169,0.34758213,0.17161717,0.13320988,0.13965742
muP_3,1,1,0.33334008,0.038960908,0.3297955,0.19559059,0.11654909,0.18276553
muP_3,1,2,0.35552552,0.008561667,0.2009938,0.09477222,0.07232675,0.12877761
muP_3,2,0,0.24245766,0.12385313,0.43748763,0.17538662,0.085710354,0.21654019
muP_3,2,1,0.22344705,0.12101784,0.44107503,0.24617489,0.13147327,0.21729177
muP_3,2,2,0.19770744,0.112512544,0.39100033,0.22259907,0.129383,0.20754896
muP_3,4,0,0.19371352,0.14598428,0.41024265,0.2577926,0.14900021,0.13049585
muP_3,4,1,0.23326904,0.08282775,0.32494292,0.17180857,0.08225623,0.07093892
muP_3,4,2,0.20393923,0.11787399,0.4136289,0.2191052,0.10222929,0.05440863
