param_type,width_multiplier,rng_seed,post_encoder,ssm_state_0,ssm_output_0,ssm_post_gelu_0,ssm_post_glu_0,output
muP_SSM,1,0,0.20519497,0.13761169,0.34758213,0.17161717,0.13320988,0.13965742
muP_SSM,1,1,0.33334008,0.038960908,0.3297955,0.19559059,0.11654909,0.18276553
muP_SSM,2,0,0.25099254,0.13913348,0.43331018,0.17310892,0.072030246,0.21635868
muP_SSM,2,1,0.2225655,0.1267064,0.5199019,0.30298874,0.19086972,0.27290425
muP_SSM,4,0,0.16719176,0.15148352,0.36863127,0.23123299,0.14713548,0.100287184
muP_SSM,4,1,0.1967018,0.094261795,0.34851217,0.18029548,0.1007163,0.080871396
muP_SSM,8,0,0.18060169,0.17591706,0.65824,0.36783522,0.22597614,0.08551117
muP_SSM,8,1,0.1825951,0.13630728,0.56153655,0.32733002,0.20675266,0.03353974
muP_SSM,16,0,0.1316705,0.11739644,0.49609858,0.27821493,0.18494111,0.098099254
muP_SSM,16,1,0.19695772,0.17934972,0.6821207,0.46376938,0.2672519,0.07391003
muP_SSM,32,0,0.17284267,0.12646325,0.50178146,0.32366112,0.22456826,0.035660613
muP_SSM,32,1,0.15988356,0.11192613,0.46455213,0.29217696,0.18764573,0.060295332
muP_SSM,64,0,0.18241979,0.1359788,0.5357556,0.35036483,0.26943898,0.03231488
muP_SSM,64,1,0.14909253,0.14558919,0.6308499,0.40430397,0.29196188,0.015373527
muP_SSM,128,0,0.17846906,0.1300005,0.55416656,0.35793918,0.28794253,0.029390052
muP_SSM,128,1,0.15405093,0.12905714,0.6000598,0.37965766,0.29905295,0.044703763
muP_SSM,256,0,0.14229345,0.113672435,0.59853685,0.3762819,0.2699035,0.027222497
muP_SSM,256,1,0.15070505,0.10920603,0.572972,0.37514523,0.25571603,0.029411374
muP_3,1,0,0.20519497,0.13761169,0.34758213,0.17161717,0.13320988,0.13965742
muP_3,1,1,0.33334008,0.038960908,0.3297955,0.19559059,0.11654909,0.18276553
muP_3,2,0,0.24245766,0.12385313,0.43748763,0.17538662,0.085710354,0.21654019
muP_3,2,1,0.22342935,0.12099683,0.44099912,0.24612117,0.13144986,0.21747182
muP_3,4,0,0.19377138,0.14602767,0.41033912,0.25783503,0.14859499,0.12830095
muP_3,4,1,0.23323207,0.082852855,0.32486713,0.17179972,0.08222661,0.069894634
muP_3,8,0,0.19917448,0.12586747,0.54608667,0.31361127,0.1691285,0.089674376
muP_3,8,1,0.22725591,0.12237318,0.4555675,0.2874978,0.17292672,0.05804407
muP_3,16,0,0.19540912,0.08411947,0.4136972,0.23219086,0.13894781,0.066959
muP_3,16,1,0.22838888,0.102636464,0.4499621,0.30185714,0.16319486,0.040502355
muP_3,32,0,0.23767073,0.05010798,0.36927664,0.2280148,0.13874424,0.025115844
muP_3,32,1,0.2181556,0.05913561,0.3481002,0.22257766,0.1358225,0.03386114
muP_3,64,0,0.25457364,0.04814485,0.36045793,0.23066331,0.15365143,0.02232007
muP_3,64,1,0.22294675,0.058762275,0.39936832,0.25333557,0.14460814,0.021582196
muP_3,128,0,0.27648157,0.03828637,0.37558398,0.23512304,0.16218871,0.017141901
muP_3,128,1,0.2707865,0.038279068,0.37532154,0.2307528,0.14149146,0.026452556
muP_3,256,0,0.276317,0.025613274,0.3556018,0.22141409,0.15120551,0.01765574
muP_3,256,1,0.28768864,0.025677469,0.36090833,0.22399479,0.15074752,0.020510368
standard,1,0,0.20519497,0.13761169,0.34758213,0.17161717,0.13320988,0.13965742
standard,1,1,0.33334008,0.038960908,0.3297955,0.19559059,0.11654909,0.18276553
standard,2,0,0.24976115,0.119879365,0.38251388,0.14717732,0.07076922,0.21932265
standard,2,1,0.2378154,0.11643295,0.42078918,0.23918179,0.120742865,0.22300945
standard,4,0,0.17622256,0.109596014,0.35167074,0.19379444,0.09670811,0.1310489
standard,4,1,0.20126617,0.0793493,0.25692725,0.13619667,0.082607046,0.07410487
standard,8,0,0.15601172,0.11172544,0.41669998,0.22901252,0.10256642,0.07004733
standard,8,1,0.20214508,0.09197731,0.3185805,0.1749806,0.100026816,0.049250945
standard,16,0,0.14978491,0.061246965,0.27829835,0.14276516,0.061866123,0.079126075
standard,16,1,0.16232574,0.07319282,0.30941376,0.17139722,0.07914008,0.05242025
standard,32,0,0.15265733,0.03885201,0.22172749,0.113308944,0.055971242,0.053850494
standard,32,1,0.14983642,0.034987956,0.21327314,0.10591571,0.058855813,0.034862753
standard,64,0,0.149165,0.032926522,0.18624832,0.09130752,0.059276547,0.019432249
standard,64,1,0.13187163,0.035197865,0.22460604,0.11389922,0.051471595,0.020876251
standard,128,0,0.12149232,0.02097436,0.16476412,0.080585785,0.042821195,0.038590886
standard,128,1,0.12788144,0.021636773,0.17342776,0.07808788,0.035334848,0.04452675
standard,256,0,0.09593122,0.011321691,0.124963894,0.056426406,0.029123945,0.025566818
standard,256,1,0.10233104,0.011463242,0.1374837,0.060775775,0.0311521,0.03387256
