param_type,width_multiplier,rng_seed,post_encoder,ssm_state_0,ssm_output_0,ssm_post_gelu_0,ssm_post_glu_0,output
muP_SSM,1,0,0.18642996,0.0860677,0.39313546,0.15961847,0.09481376,0.014915674
muP_SSM,1,1,0.14805044,0.04031717,0.19029658,0.10782058,0.119524345,0.049828235
muP_SSM,2,0,0.27365145,0.14036192,0.50718844,0.15839519,0.076067396,0.09822663
muP_SSM,2,1,0.3125351,0.13714549,0.5147354,0.29614207,0.15043506,0.041463878
muP_SSM,4,0,0.31349498,0.21266584,0.6966815,0.361309,0.1685491,0.05262591
muP_SSM,4,1,0.32461435,0.12599936,0.48779756,0.27431166,0.13537258,0.07727324
muP_SSM,8,0,0.33233166,0.2275099,0.75443494,0.4554635,0.25886533,0.06330171
muP_SSM,8,1,0.3747815,0.20579152,0.719646,0.41216096,0.23314267,0.053536434
muP_SSM,16,0,0.33169955,0.1986698,0.6557167,0.36963904,0.2186483,0.05838836
muP_SSM,16,1,0.39593363,0.23517933,0.76142824,0.5306669,0.28767937,0.051747497
muP_SSM,32,0,0.39236835,0.18384688,0.72727484,0.45422912,0.26291454,0.04152916
muP_SSM,32,1,0.3768387,0.16806023,0.6408632,0.41344404,0.22167617,0.06757715
muP_SSM,64,0,0.40337864,0.18840082,0.72660846,0.4684352,0.30840895,0.029867254
muP_SSM,64,1,0.3835581,0.20457105,0.8526445,0.5474961,0.34195507,0.04101931
muP_SSM,128,0,0.392815,0.17183833,0.717053,0.46531147,0.32293132,0.02141229
muP_SSM,128,1,0.38107795,0.17788666,0.8051976,0.4984488,0.33578753,0.041112535
muP_SSM,256,0,0.38526836,0.16042086,0.76109344,0.49751258,0.31243962,0.02767968
muP_SSM,256,1,0.38900524,0.15239649,0.72972745,0.4859948,0.28951278,0.030567357
muP_3,1,0,0.18642996,0.0860677,0.39313546,0.15961847,0.09481376,0.014915674
muP_3,1,1,0.14805044,0.04031717,0.19029658,0.10782058,0.119524345,0.049828235
muP_3,2,0,0.28552267,0.12537152,0.51906085,0.15804556,0.076736175,0.09463518
muP_3,2,1,0.29755107,0.12688082,0.39527017,0.19973563,0.099527635,0.024467265
muP_3,4,0,0.3166902,0.15084337,0.6327307,0.33024994,0.17465714,0.06672529
muP_3,4,1,0.33912742,0.09947233,0.45063,0.2589037,0.11707186,0.07391329
muP_3,8,0,0.3651934,0.13806528,0.59889203,0.3628636,0.1911841,0.06336663
muP_3,8,1,0.38867673,0.14122842,0.5434514,0.3430978,0.17531843,0.083974175
muP_3,16,0,0.34697115,0.102968134,0.5107094,0.28211388,0.15495583,0.029223053
muP_3,16,1,0.39637938,0.11378845,0.530067,0.3597882,0.16630332,0.045812678
muP_3,32,0,0.38914168,0.057435103,0.5076291,0.3183212,0.15446274,0.028772721
muP_3,32,1,0.36131105,0.06569792,0.4280165,0.28703082,0.14739719,0.05053422
muP_3,64,0,0.4041413,0.051080808,0.46138552,0.31803775,0.17675601,0.024125697
muP_3,64,1,0.39676166,0.06415889,0.49677566,0.3266925,0.16515799,0.04103071
muP_3,128,0,0.40836546,0.04072452,0.46263704,0.31107286,0.18166517,0.014595793
muP_3,128,1,0.3971568,0.04055413,0.45829853,0.2991632,0.15790385,0.0132563915
muP_3,256,0,0.40429473,0.027293492,0.44399807,0.29697254,0.17047168,0.015248066
muP_3,256,1,0.40535146,0.026835563,0.43876848,0.2978304,0.1667263,0.022896044
standard,1,0,0.18642996,0.0860677,0.39313546,0.15961847,0.09481376,0.014915674
standard,1,1,0.14805044,0.04031717,0.19029658,0.10782058,0.119524345,0.049828235
standard,2,0,0.28724343,0.112975635,0.49681807,0.14031315,0.07674758,0.08841437
standard,2,1,0.28350094,0.1146255,0.36152348,0.18607076,0.08388416,0.029802443
standard,4,0,0.29612535,0.12350626,0.54966635,0.26588002,0.1168627,0.057924516
standard,4,1,0.33692598,0.09505015,0.3803339,0.21722394,0.10301119,0.06600847
standard,8,0,0.32753038,0.12214632,0.48144567,0.27986687,0.12422793,0.054882724
standard,8,1,0.33312446,0.107638665,0.40413725,0.21489662,0.098838046,0.084040985
standard,16,0,0.31492028,0.07888326,0.37695143,0.18493426,0.07746704,0.022871075
standard,16,1,0.359087,0.085917555,0.40209785,0.22187571,0.081545316,0.043460943
standard,32,0,0.34598494,0.04195086,0.3704215,0.18368804,0.06870488,0.02296092
standard,32,1,0.33486927,0.041698348,0.33775046,0.17487176,0.06581272,0.039782986
standard,64,0,0.34043157,0.034827992,0.3178635,0.16050571,0.07368176,0.023446418
standard,64,1,0.34360656,0.04103016,0.34208935,0.17328314,0.06752102,0.027024439
standard,128,0,0.33679685,0.022393778,0.2904981,0.14433677,0.06096858,0.011863741
standard,128,1,0.33370975,0.02410237,0.29097053,0.14518377,0.053458888,0.017766021
standard,256,0,0.33827677,0.013173836,0.27446195,0.13707732,0.051757522,0.020180617
standard,256,1,0.32684988,0.012693999,0.26768622,0.13517338,0.051631983,0.027942719
