param_type,width_multiplier,rng_seed,post_encoder,ssm_state_0,ssm_output_0,ssm_post_gelu_0,ssm_post_glu_0,output
muP_SSM,1,0,0.0053402605,0.0056018573,0.017490325,0.00755505,0.01622627,0.14528058
muP_SSM,1,1,0.0031562226,0.00042236564,0.0041815965,0.002819572,0.024824074,0.2105353
muP_SSM,1,2,0.0016699856,9.726631e-05,0.002214069,0.0011268157,0.0073838723,0.12348136
muP_SSM,2,0,0.006353301,0.0027509267,0.012878617,0.002898841,0.0075178607,0.11368441
muP_SSM,2,1,0.008524206,0.0016487999,0.017692355,0.013536418,0.026602294,0.2238379
muP_SSM,2,2,0.0053580217,0.0020590052,0.013457982,0.008679959,0.012245471,0.03657884
muP_SSM,4,0,0.009212846,0.009494279,0.030727413,0.018927012,0.013568029,0.070433006
muP_SSM,4,1,0.0066739256,0.0015970783,0.0127508845,0.009887201,0.01787323,0.10684621
muP_SSM,4,2,0.0057714516,0.0021983108,0.011636171,0.0042051994,0.010161983,0.062890664
muP_SSM,8,0,0.011790735,0.011792089,0.04522167,0.022324936,0.011221135,0.04145476
muP_SSM,8,1,0.010993144,0.008395476,0.037392993,0.024033668,0.019845886,0.07417668
muP_SSM,8,2,0.012265266,0.01056187,0.04585883,0.01851336,0.007986344,0.042226292
muP_SSM,16,0,0.009010429,0.011556207,0.044996105,0.027322004,0.015004499,0.048442338
muP_SSM,16,1,0.0097600045,0.0070737,0.03073973,0.015158123,0.010187005,0.057559077
muP_SSM,16,2,0.009952117,0.00703092,0.028075596,0.014252052,0.007016357,0.03118283
muP_SSM,32,0,0.009188586,0.007185639,0.026372038,0.015526727,0.009993549,0.03395387
muP_SSM,32,1,0.010050437,0.00993679,0.06162011,0.033333417,0.016076759,0.04070105
muP_SSM,32,2,0.015945777,0.014069972,0.07050173,0.03832968,0.016110215,0.0130307125
muP_SSM,64,0,0.0115692625,0.010946588,0.04037983,0.02239142,0.011184387,0.021744035
muP_SSM,64,1,0.014303239,0.020997614,0.187503,0.104199015,0.04244571,0.04696846
muP_SSM,64,2,0.009623471,0.00994355,0.043014314,0.02368516,0.010892828,0.017234398
muP_SSM,128,0,0.010801345,0.012012016,0.044409174,0.023925439,0.0113082435,0.020303791
muP_SSM,128,1,0.012852276,0.018895078,0.1597629,0.08231965,0.031419024,0.029479869
muP_SSM,128,2,0.0132390745,0.017025122,0.08867927,0.04932338,0.019951066,0.013196358
muP_SSM,256,0,0.031186877,0.0713458,1.5929642,0.79920036,0.31421435,0.11003469
muP_SSM,256,1,0.016055454,0.021135159,0.16651107,0.08898141,0.03446062,0.022752617
muP_SSM,256,2,0.013140681,0.029593112,0.35769236,0.19762829,0.074002065,0.017202262
muP_SSM,512,0,0.019788275,0.026323555,0.26803157,0.13978806,0.04938516,0.023464829
muP_SSM,512,1,0.020046107,0.024441317,0.25593212,0.13597912,0.050434705,0.013862123
muP_SSM,512,2,0.08798484,0.042800352,0.3991556,0.21770209,0.08037682,0.0055217086
muP_3,1,0,0.0053402605,0.0056018573,0.017490325,0.00755505,0.01622627,0.14528058
muP_3,1,1,0.0031562226,0.00042236564,0.0041815965,0.002819572,0.024824074,0.2105353
muP_3,1,2,0.0016699856,9.726631e-05,0.002214069,0.0011268157,0.0073838723,0.12348136
muP_3,2,0,0.006440719,0.002348592,0.012295803,0.002954834,0.0076780845,0.11508977
muP_3,2,1,0.008397712,0.0014097844,0.01585137,0.012179006,0.02361247,0.21587075
muP_3,2,2,0.0053262813,0.0016518938,0.012146958,0.008154657,0.011655167,0.03543007
muP_3,4,0,0.007098585,0.0043880963,0.016513927,0.009114315,0.008513804,0.07008983
muP_3,4,1,0.00632684,0.00078708946,0.011179966,0.008924115,0.017998653,0.10514417
muP_3,4,2,0.0054637864,0.0010785653,0.009833701,0.0032528178,0.009195691,0.06140913
muP_3,8,0,0.007644495,0.0027360725,0.016884498,0.007832037,0.006412966,0.042064313
muP_3,8,1,0.007297208,0.001844093,0.014734356,0.010142557,0.015367269,0.07236994
muP_3,8,2,0.007837876,0.0028537537,0.018054094,0.0072744326,0.00483624,0.03941057
muP_3,16,0,0.004469076,0.0010118046,0.0082276035,0.0043112016,0.004751908,0.042789444
muP_3,16,1,0.005838719,0.0011671057,0.011965196,0.005691804,0.008108269,0.061383434
muP_3,16,2,0.0066759367,0.0012408016,0.012772842,0.006359854,0.005142254,0.029614251
muP_3,32,0,0.0070418213,0.00074720435,0.012334954,0.0077383905,0.0075338744,0.03186019
muP_3,32,1,0.006271574,0.0006976871,0.011160509,0.0058185398,0.006022089,0.044524394
muP_3,32,2,0.0063794744,0.0009054345,0.013327274,0.009134583,0.008618565,0.017208243
muP_3,64,0,0.0062646563,0.0005410537,0.01116717,0.007073671,0.0067575653,0.019709948
muP_3,64,1,0.0062145893,0.0006505048,0.011395356,0.0060839118,0.0053893817,0.03423587
muP_3,64,2,0.0059439642,0.0004952802,0.01076666,0.006668091,0.0053811683,0.01396743
muP_3,128,0,0.0060174135,0.00033834742,0.010216777,0.006005238,0.0058813426,0.017983263
