param_type,width_multiplier,rng_seed,post_encoder,ssm_state_0,ssm_output_0,ssm_post_gelu_0,ssm_post_glu_0,output
muP_SSM,1,0,0.35902876,0.13384295,0.46432278,0.13029212,0.067247935,0.012069205
muP_SSM,1,1,0.407056,0.017590784,0.31190726,0.17689268,0.08893018,0.022058468
muP_SSM,1,2,0.31218085,0.0066203447,0.12647969,0.046391703,0.09850232,0.025011687
muP_SSM,2,0,0.32245594,0.1079125,0.404749,0.08408173,0.046896946,0.015360709
muP_SSM,2,1,0.37522802,0.08238507,0.4144133,0.23435432,0.09055892,0.022652071
muP_SSM,2,2,0.3800235,0.06268938,0.34592143,0.17483427,0.08244075,0.024012772
muP_SSM,4,0,0.29488635,0.14338984,0.50722384,0.19357888,0.06614412,0.009593456
muP_SSM,4,1,0.35903168,0.052805807,0.29263154,0.16108277,0.09206883,0.009082904
muP_SSM,4,2,0.36188623,0.08641674,0.43784636,0.15701152,0.07259523,0.02317372
muP_SSM,8,0,0.33469322,0.13590686,0.45235094,0.19579917,0.07960914,0.012833855
muP_SSM,8,1,0.34770197,0.12962839,0.382925,0.20399985,0.075903326,0.016074922
muP_SSM,8,2,0.37419492,0.14144512,0.39873102,0.17448282,0.073926724,0.024798587
muP_SSM,16,0,0.32833052,0.15672643,0.52631456,0.2406022,0.10208636,0.017575702
muP_SSM,16,1,0.3531223,0.114740156,0.33791786,0.16603743,0.060180247,0.016436677
muP_SSM,16,2,0.36772195,0.10706483,0.34580606,0.15432489,0.052326117,0.01605515
muP_SSM,32,0,0.34741715,0.10582872,0.42205456,0.2093683,0.07832492,0.015478369
muP_SSM,32,1,0.3325163,0.115935825,0.4608331,0.22326522,0.08738339,0.022432184
muP_SSM,32,2,0.38117722,0.1230386,0.46415114,0.22047392,0.083073094,0.019101722
muP_SSM,64,0,0.34834728,0.1109901,0.40621814,0.2048624,0.07587521,0.017763503
muP_SSM,64,1,0.3473837,0.1388789,0.65165013,0.32758945,0.11575006,0.019030385
muP_SSM,64,2,0.35758573,0.12668376,0.48301965,0.24995103,0.0883885,0.017321635
muP_SSM,128,0,0.35380697,0.103833586,0.40812087,0.2052258,0.072107114,0.017306618
muP_SSM,128,1,0.3440391,0.12020734,0.53880847,0.258637,0.09045391,0.021281438
muP_SSM,128,2,0.3585597,0.11958203,0.49968398,0.26325154,0.0946882,0.016695607
