param_type,width_multiplier,step,rng_seed,post_encoder,ssm_state_0,ssm_output_0,ssm_post_gelu_0,ssm_post_glu_0,output
muP_SSM,2,1,52204,6.780633e-05,9.6957745e-05,0.0007128753,0.0005852026,0.000652536,0.0068775862
muP_SSM,2,10,52204,0.00059784,0.001037678,0.006207204,0.005150363,0.005883197,0.063637845
muP_SSM,2,100,52204,0.0054344237,0.0072239554,0.043674786,0.03612289,0.031962596,0.33685678
muP_SSM,2,1000,52204,0.12138825,0.09983483,0.503176,0.4150777,0.29078835,0.6479275
muP_SSM,2,1,706586,7.119453e-05,2.5082963e-05,0.00011807102,5.7847374e-05,0.0004295391,0.0058437916
muP_SSM,2,10,706586,0.0007076571,0.000300281,0.001178901,0.00047876415,0.004080241,0.054570634
muP_SSM,2,100,706586,0.007326742,0.003163337,0.013079005,0.0043629813,0.024094984,0.2979767
muP_SSM,2,1000,706586,0.20572977,0.12570538,0.2547165,0.071432464,0.08619549,0.53777474
muP_SSM,2,1,698282,0.00016978635,4.200497e-05,0.00055042,0.00032866176,0.0008549316,0.0049119364
muP_SSM,2,10,698282,0.0013522882,0.0008822123,0.0048210504,0.0031350993,0.008024797,0.044715796
muP_SSM,2,100,698282,0.0013480383,0.0052745882,0.02837562,0.021615012,0.041416246,0.2079474
muP_SSM,2,1000,698282,0.017491018,0.03680883,0.15299125,0.0838074,0.10357535,0.33390588
muP_SSM,2,1,686609,0.0007217939,0.00020857187,0.0015560521,0.0006349747,0.00036462606,0.0009359807
muP_SSM,2,10,686609,0.0073196194,0.0027864806,0.016516667,0.006750453,0.0037370832,0.009218625
muP_SSM,2,100,686609,0.07900804,0.030659443,0.18267493,0.07600289,0.039886247,0.08181022
muP_SSM,2,1000,686609,0.2362097,0.16360353,0.8121381,0.288802,0.1478073,0.32564035
muP_SSM,2,1,436241,0.00032872768,0.00014239055,0.00065566367,0.0005174596,0.0011199958,0.00090928935
muP_SSM,2,10,436241,0.0031460244,0.0015772119,0.00588208,0.0042649615,0.011023025,0.0086145345
muP_SSM,2,100,436241,0.02014421,0.009690641,0.037369363,0.017420528,0.09935933,0.07897589
muP_SSM,2,1000,436241,0.08770344,0.05102649,0.20984216,0.12676492,0.31956443,0.34741727
muP_SSM,2,1,797459,0.0006802069,0.0004095931,0.0010767789,0.0007634824,0.00032143877,0.0004666835
muP_SSM,2,10,797459,0.006701061,0.0031653617,0.010193636,0.0060005076,0.0026815205,0.004217209
muP_SSM,2,100,797459,0.06158309,0.027815191,0.0900558,0.053077795,0.022341516,0.017846273
muP_SSM,2,1000,797459,0.21777447,0.09928746,0.31234512,0.20329428,0.094471425,0.066614054
muP_SSM,2,1,670436,0.00011113001,4.6635563e-05,0.00026434928,0.0002527288,0.0002690062,0.0031182528
muP_SSM,2,10,670436,0.0011019713,0.00036662095,0.0017601661,0.0016288281,0.0023371212,0.028877605
muP_SSM,2,100,670436,0.0100437105,0.0032721483,0.017030712,0.016062088,0.014841156,0.1553264
muP_SSM,2,1000,670436,0.08764215,0.02701588,0.2692822,0.20732573,0.108157635,0.2490541
muP_SSM,2,1,790515,0.00017846984,8.294283e-05,0.0003300089,0.00016216298,0.0006478992,0.006767243
muP_SSM,2,10,790515,0.0018523232,0.0006163792,0.0024209295,0.0009029177,0.005840151,0.062178463
