param_type,width_multiplier,step,rng_seed,post_encoder,ssm_state_0,ssm_output_0,ssm_post_gelu_0,ssm_post_glu_0,output
muP_SSM,2,1,52204,0.4922599,0.22206908,0.4099721,0.29803643,0.22108792,0.24271694
muP_SSM,2,10,52204,0.492588,0.22232266,0.40925798,0.2965669,0.21990454,0.18595667
muP_SSM,2,100,52204,0.4952662,0.22413304,0.40975085,0.29306155,0.21954301,0.08726225
muP_SSM,2,1000,52204,0.5186043,0.2679333,0.70128196,0.5513441,0.39634487,0.39833295
muP_SSM,2,1,706586,0.45536038,0.1299872,0.21286778,0.11638105,0.10806495,0.04033866
muP_SSM,2,10,706586,0.45511135,0.12999119,0.21274948,0.11624169,0.11106532,0.0890655
muP_SSM,2,100,706586,0.45239648,0.13040292,0.21507423,0.11635756,0.12799379,0.33247158
muP_SSM,2,1000,706586,0.40398073,0.2123949,0.40318328,0.14518087,0.18132827,0.5722696
muP_SSM,2,1,698282,0.54294115,0.16946305,0.51234174,0.2430576,0.18125026,0.071996905
muP_SSM,2,10,698282,0.5427834,0.16879795,0.51230186,0.2444156,0.18299343,0.11180077
muP_SSM,2,100,698282,0.5429631,0.16689453,0.51832646,0.2559799,0.19713669,0.27503237
muP_SSM,2,1000,698282,0.541115,0.18344085,0.63793385,0.32231244,0.25841814,0.40099087
muP_SSM,2,1,686609,0.608188,0.18313184,0.99752486,0.15136065,0.09785128,0.23878343
muP_SSM,2,10,686609,0.60546106,0.18122476,0.9931089,0.1556963,0.10051232,0.2305008
muP_SSM,2,100,686609,0.57835096,0.1626134,0.9539367,0.21078704,0.13202079,0.15790918
muP_SSM,2,1000,686609,0.54444915,0.22244231,1.0605115,0.36776373,0.23411326,0.08592097
muP_SSM,2,1,436241,0.7264819,0.22482802,1.210104,0.7203563,0.20761733,0.111472525
muP_SSM,2,10,436241,0.7267829,0.22459263,1.2106084,0.7192312,0.20864864,0.10393491
muP_SSM,2,100,436241,0.7282392,0.22291872,1.2271636,0.72191834,0.24810448,0.08787705
muP_SSM,2,1000,436241,0.7220897,0.24422166,1.3044922,0.79290336,0.3941421,0.24007563
muP_SSM,2,1,797459,0.71881646,0.17085376,0.8079983,0.4071744,0.17718688,0.10780878
muP_SSM,2,10,797459,0.71741086,0.1703032,0.8044135,0.40518782,0.17636226,0.111559294
