param_type,width_multiplier,rng_seed,layers.0,layers.1,logits
muP_3,0.5,0,0.08630645,0.24482675,0.87413013
muP_3,0.5,1,0.061278723,0.2616852,0.9225185
muP_3,0.5,2,0.08894281,0.3203802,0.93158025
muP_3,0.5,3,0.090394594,0.23036194,0.5247429
muP_3,1.0,0,0.077282146,0.2516857,0.7468062
muP_3,1.0,1,0.06984165,0.2677285,0.7837547
muP_3,1.0,2,0.0680839,0.288415,0.7910659
muP_3,1.0,3,0.07398009,0.28565204,0.7827202
muP_3,2.0,0,0.08236013,0.26681548,0.7720898
muP_3,2.0,1,0.07196088,0.25296873,0.7938068
muP_3,2.0,2,0.07646038,0.2856447,0.851023
muP_3,2.0,3,0.076823175,0.31309763,0.91410935
muP_3,4.0,0,0.07699807,0.26386178,0.8240826
muP_3,4.0,1,0.08363007,0.27221808,0.81977206
muP_3,4.0,2,0.07683135,0.2878595,0.8731812
muP_3,4.0,3,0.07164286,0.28641966,0.80990183
muP_3,8.0,0,0.07649866,0.26209357,0.7785541
muP_3,8.0,1,0.075222574,0.28387752,0.8398747
muP_3,8.0,2,0.07859311,0.2799265,0.846091
muP_3,8.0,3,0.07010588,0.28474754,0.8435111
muP_3,16.0,0,0.0746163,0.27619812,0.8515592
muP_3,16.0,1,0.07466529,0.28243187,0.81415445
muP_3,16.0,2,0.07375501,0.2827316,0.84869146
muP_3,16.0,3,0.07863252,0.29714286,0.8622233
muP_3,32.0,0,0.07415811,0.27625567,0.82456326
muP_3,32.0,1,0.078718655,0.2836252,0.84357613
muP_3,32.0,2,0.07772699,0.29345423,0.8950999
muP_3,32.0,3,0.077965125,0.290528,0.8543777
muP_3,64.0,0,0.07664132,0.28149217,0.86722285
muP_3,64.0,1,0.07733485,0.27747923,0.8502307
muP_3,64.0,2,0.07663931,0.29097643,0.8729492
muP_3,64.0,3,0.07687409,0.2845232,0.8516334
muP_3,128.0,0,0.075959146,0.2863796,0.86060655
muP_3,128.0,1,0.07624002,0.27870986,0.8433337
muP_3,128.0,2,0.07684489,0.28902465,0.875906
muP_3,128.0,3,0.07668739,0.28687316,0.86732644
muP_3,256.0,0,0.07645628,0.28271368,0.8575302
muP_3,256.0,1,0.07732305,0.28227395,0.85370654
muP_3,256.0,2,0.076997265,0.28608584,0.87388045
muP_3,256.0,3,0.07599067,0.28868222,0.8737098
standard,0.5,0,0.08771391,0.25046375,0.7275014
standard,0.5,1,0.057543725,0.26358262,0.74551415
standard,0.5,2,0.090590924,0.32186815,0.74115646
standard,0.5,3,0.08976967,0.22557731,0.4274118
standard,1.0,0,0.077282146,0.2516857,0.7468062
standard,1.0,1,0.06984165,0.2677285,0.7837547
standard,1.0,2,0.0680839,0.288415,0.7910659
standard,1.0,3,0.07398009,0.28565204,0.7827202
standard,2.0,0,0.08248522,0.2722025,0.9796876
standard,2.0,1,0.07393694,0.25166094,0.99936545
standard,2.0,2,0.07666456,0.2858588,1.0782565
standard,2.0,3,0.076542184,0.31249583,1.1661834
standard,4.0,0,0.07555129,0.26452625,1.3615017
standard,4.0,1,0.083465725,0.2745057,1.3129689
standard,4.0,2,0.0775373,0.28808188,1.4632096
standard,4.0,3,0.071641445,0.28412467,1.3670013
standard,8.0,0,0.07670897,0.26539117,1.7725813
standard,8.0,1,0.07354624,0.28538272,1.8348403
standard,8.0,2,0.07878693,0.28287694,1.8883246
standard,8.0,3,0.06969787,0.28502393,1.9064786
standard,16.0,0,0.072952874,0.27697912,2.562388
standard,16.0,1,0.07556122,0.28326422,2.5169773
standard,16.0,2,0.07289234,0.28384757,2.6030612
standard,16.0,3,0.07775501,0.29710397,2.6047053
standard,32.0,0,0.07399811,0.27659065,3.4385176
standard,32.0,1,0.07804918,0.28329754,3.486794
standard,32.0,2,0.07769775,0.29196173,3.6977246
standard,32.0,3,0.0776625,0.29416627,3.5596945
standard,64.0,0,0.076411635,0.27955297,4.9167924
standard,64.0,1,0.076823,0.27908075,4.8539605
standard,64.0,2,0.07670954,0.28837514,5.021235
standard,64.0,3,0.07646552,0.28557307,4.8703766
standard,128.0,0,0.075922,0.2864787,6.9390764
standard,128.0,1,0.07622645,0.2793464,6.735217
standard,128.0,2,0.076699,0.28786868,6.993519
standard,128.0,3,0.07645489,0.28715944,6.8962173
standard,256.0,0,0.07640001,0.2828875,9.6067915
standard,256.0,1,0.07679571,0.28304464,9.476006
standard,256.0,2,0.07642261,0.28629708,9.711097
standard,256.0,3,0.075636625,0.2881823,9.749829
