param_type,width_multiplier,rng_seed,layers.0,layers.1,logits
muP_3,0.5,0,0.38381958,0.7233869,2.6767218
muP_3,0.5,1,0.42197636,0.48243406,1.5958205
muP_3,0.5,2,0.4887513,0.7789389,2.8783164
muP_3,0.5,3,0.32081532,0.5731879,1.383914
muP_3,1.0,0,0.3525665,0.67299855,2.299309
muP_3,1.0,1,0.38094223,0.6559143,2.0063097
muP_3,1.0,2,0.39776373,0.5791012,1.9894848
muP_3,1.0,3,0.39750847,0.66587615,2.12412
muP_3,2.0,0,0.33675998,0.66393346,2.3757586
muP_3,2.0,1,0.36419263,0.623116,2.1363962
muP_3,2.0,2,0.38721597,0.60980636,2.2864196
muP_3,2.0,3,0.4041533,0.7086793,2.658745
muP_3,4.0,0,0.36480466,0.64893574,2.4878597
muP_3,4.0,1,0.3941999,0.67804426,2.4003356
muP_3,4.0,2,0.39174622,0.65786934,2.5319886
muP_3,4.0,3,0.40172476,0.6646527,2.4282575
muP_3,8.0,0,0.37426525,0.6364324,2.3515613
muP_3,8.0,1,0.38767165,0.65188074,2.3958294
muP_3,8.0,2,0.3918356,0.6554276,2.4718199
muP_3,8.0,3,0.39123124,0.64457124,2.4268365
muP_3,16.0,0,0.38298312,0.6573788,2.546054
muP_3,16.0,1,0.39410925,0.6457931,2.3430321
muP_3,16.0,2,0.39596775,0.6535953,2.5032744
muP_3,16.0,3,0.41025585,0.6872253,2.5828154
muP_3,32.0,0,0.3771329,0.63795537,2.425966
muP_3,32.0,1,0.38855988,0.6542413,2.4817784
muP_3,32.0,2,0.38958627,0.66674316,2.6189532
muP_3,32.0,3,0.40048617,0.6738901,2.5566666
muP_3,64.0,0,0.3880054,0.658352,2.5634716
muP_3,64.0,1,0.38166633,0.6448196,2.488616
muP_3,64.0,2,0.39598334,0.66697055,2.5897892
muP_3,64.0,3,0.39581826,0.6674552,2.545321
muP_3,128.0,0,0.39142233,0.6572485,2.5288284
muP_3,128.0,1,0.38282907,0.6475207,2.4913344
muP_3,128.0,2,0.39617288,0.66692936,2.5858884
muP_3,128.0,3,0.39359474,0.6587331,2.5423665
muP_3,256.0,0,0.38987285,0.6571307,2.5423684
muP_3,256.0,1,0.39239672,0.6556153,2.5174606
muP_3,256.0,2,0.39756125,0.664377,2.5923378
muP_3,256.0,3,0.39695656,0.66223234,2.5719287
standard,0.5,0,0.35564262,0.71594226,2.2372744
standard,0.5,1,0.4278307,0.49837637,1.292656
standard,0.5,2,0.49158162,0.7851134,2.470716
standard,0.5,3,0.31581622,0.55717033,1.1285855
standard,1.0,0,0.3525665,0.67299855,2.299309
standard,1.0,1,0.38094223,0.6559143,2.0063097
standard,1.0,2,0.39776373,0.5791012,1.9894848
standard,1.0,3,0.39750847,0.66587615,2.12412
standard,2.0,0,0.3328757,0.6611733,2.845343
standard,2.0,1,0.35862333,0.61040705,2.5579355
standard,2.0,2,0.3829471,0.60002893,2.711022
standard,2.0,3,0.39975217,0.70207894,3.192172
standard,4.0,0,0.35916707,0.6304915,3.6869035
standard,4.0,1,0.38850313,0.66634333,3.5528474
standard,4.0,2,0.384654,0.63593554,3.75585
standard,4.0,3,0.39693618,0.6553899,3.6279054
standard,8.0,0,0.3665027,0.6167321,4.4942055
standard,8.0,1,0.37711924,0.62563896,4.4963756
standard,8.0,2,0.38087428,0.63471484,4.636177
standard,8.0,3,0.38220719,0.6261606,4.5892715
standard,16.0,0,0.37256116,0.6266962,6.2657037
standard,16.0,1,0.3843466,0.6254613,5.8871493
standard,16.0,2,0.38590083,0.61577404,6.1589503
standard,16.0,3,0.4013015,0.6592767,6.277975
standard,32.0,0,0.364627,0.6027478,7.8469434
standard,32.0,1,0.37968764,0.6256881,8.129171
standard,32.0,2,0.37770513,0.6349858,8.467726
standard,32.0,3,0.3880517,0.64319074,8.252734
standard,64.0,0,0.37650776,0.62296695,11.2548485
standard,64.0,1,0.3701194,0.61355704,11.065052
standard,64.0,2,0.38397855,0.6355272,11.389535
standard,64.0,3,0.38156468,0.6314122,11.109689
standard,128.0,0,0.37786037,0.6199748,15.3034935
standard,128.0,1,0.36922944,0.6096761,14.961707
standard,128.0,2,0.38139498,0.62777466,15.486485
standard,128.0,3,0.3809635,0.6232538,15.298926
standard,256.0,0,0.3761158,0.617617,21.170212
standard,256.0,1,0.37939304,0.6179405,20.90052
standard,256.0,2,0.3836923,0.62706566,21.482006
standard,256.0,3,0.38281384,0.62551147,21.396572
