param_type,width_multiplier,rng_seed,layers.0,layers.1,logits
muP_3,0.5,0,0.26919597,0.36801484,0.8714748
muP_3,0.5,1,0.33751577,0.30399066,0.5031861
muP_3,0.5,2,0.36949617,0.3731007,0.9345362
muP_3,0.5,3,0.21579559,0.21092114,0.25956604
muP_3,1.0,0,0.25296712,0.2823211,0.595988
muP_3,1.0,1,0.2697863,0.30293292,0.5326514
muP_3,1.0,2,0.29864258,0.22833866,0.5768557
muP_3,1.0,3,0.2890272,0.30190542,0.6073403
muP_3,2.0,0,0.23835127,0.29514825,0.722869
muP_3,2.0,1,0.26796943,0.29984856,0.55686164
muP_3,2.0,2,0.30554628,0.3148707,0.7806194
muP_3,2.0,3,0.30078584,0.33334592,0.82562125
muP_3,4.0,0,0.27924466,0.2977399,0.7690404
muP_3,4.0,1,0.28808904,0.3397848,0.8292347
muP_3,4.0,2,0.3082744,0.31771117,0.9169457
muP_3,4.0,3,0.30920842,0.3018512,0.70832694
muP_3,8.0,0,0.28299287,0.27631173,0.69766945
muP_3,8.0,1,0.28941745,0.31776428,0.7914214
muP_3,8.0,2,0.29607198,0.31211358,0.82837635
muP_3,8.0,3,0.30211568,0.30128402,0.7269077
muP_3,16.0,0,0.29441553,0.30498505,0.82731843
muP_3,16.0,1,0.29986423,0.29516426,0.7385648
muP_3,16.0,2,0.307922,0.30366907,0.8523196
muP_3,16.0,3,0.31523216,0.3213647,0.8387682
muP_3,32.0,0,0.2926374,0.28443366,0.76463646
muP_3,32.0,1,0.2980827,0.30329895,0.80825716
muP_3,32.0,2,0.3053587,0.31834963,0.9001918
muP_3,32.0,3,0.30801725,0.31057203,0.837209
muP_3,64.0,0,0.29923415,0.31315333,0.8699319
muP_3,64.0,1,0.29478058,0.30784425,0.84472907
muP_3,64.0,2,0.30540985,0.31159985,0.8690222
muP_3,64.0,3,0.30561742,0.31303945,0.84816194
muP_3,128.0,0,0.30350918,0.30693257,0.84141165
muP_3,128.0,1,0.2927137,0.3006998,0.8140062
muP_3,128.0,2,0.306898,0.31423926,0.8764853
muP_3,128.0,3,0.3044661,0.31176814,0.86141497
muP_3,256.0,0,0.30294484,0.3066649,0.85130477
muP_3,256.0,1,0.30313462,0.30983785,0.84387976
muP_3,256.0,2,0.30742776,0.31436723,0.88591236
muP_3,256.0,3,0.30641752,0.31407326,0.8749877
standard,0.5,0,0.26671606,0.37365186,0.6747403
standard,0.5,1,0.34177378,0.31808007,0.3576558
standard,0.5,2,0.3711443,0.37458864,0.7504084
standard,0.5,3,0.21684232,0.21141593,0.18962601
standard,1.0,0,0.25296712,0.2823211,0.595988
standard,1.0,1,0.2697863,0.30293292,0.5326514
standard,1.0,2,0.29864258,0.22833866,0.5768557
standard,1.0,3,0.2890272,0.30190542,0.6073403
standard,2.0,0,0.2374861,0.2947062,0.9460589
standard,2.0,1,0.26494163,0.29501545,0.72886544
standard,2.0,2,0.30484268,0.3076993,0.9736266
standard,2.0,3,0.30081975,0.33216488,1.0765939
standard,4.0,0,0.27781433,0.289533,1.312839
standard,4.0,1,0.28728122,0.33372575,1.442158
standard,4.0,2,0.30656815,0.30861026,1.5420935
standard,4.0,3,0.3080918,0.29564998,1.2245418
standard,8.0,0,0.2807998,0.27373815,1.6232169
standard,8.0,1,0.28572756,0.31031406,1.8403533
standard,8.0,2,0.29426104,0.30519238,1.8270429
standard,8.0,3,0.2999121,0.29549345,1.6551403
standard,16.0,0,0.29113734,0.29739058,2.5575576
standard,16.0,1,0.2977112,0.28966412,2.3800144
standard,16.0,2,0.30540493,0.29300323,2.6046062
standard,16.0,3,0.31283826,0.31148753,2.60192
standard,32.0,0,0.2897445,0.27384794,3.2006478
standard,32.0,1,0.29590553,0.29386836,3.4685435
standard,32.0,2,0.30283558,0.30724257,3.712295
standard,32.0,3,0.30488342,0.30216736,3.562497
standard,64.0,0,0.2968979,0.300525,5.045953
standard,64.0,1,0.2920941,0.29781106,5.0029087
standard,64.0,2,0.302669,0.30155176,4.9746914
standard,64.0,3,0.3025753,0.30173433,4.948814
standard,128.0,0,0.30035612,0.2958326,6.8338885
standard,128.0,1,0.2894683,0.28877896,6.6044545
standard,128.0,2,0.30340603,0.30172148,6.9844246
standard,128.0,3,0.30128208,0.29922312,6.9399753
standard,256.0,0,0.29989824,0.29466575,9.622351
standard,256.0,1,0.300359,0.2973647,9.525522
standard,256.0,2,0.30421513,0.30272907,9.887398
standard,256.0,3,0.30297408,0.3019299,9.88407
