param_type,width_multiplier,rng_seed,post_encoder,ssm_state_0,ssm_output_0,ssm_post_gelu_0,ssm_post_glu_0,ssm_state_1,ssm_output_1,ssm_post_gelu_1,ssm_post_glu_1,output
muP_SSM,2,0,0.17192067,0.25913322,0.7890181,0.3888904,0.25842467,0.09463806,0.3881927,0.24200954,0.14838818,0.33549243
muP_SSM,2,1,0.25970283,0.15250501,0.47303972,0.26780665,0.280437,0.18868053,0.6326023,0.33864245,0.2243256,0.43989712
muP_SSM,2,2,0.24512945,0.24517341,0.7802336,0.5228225,0.36417174,0.19634755,0.71559566,0.36082107,0.20520385,0.49353477
muP_SSM,2,3,0.2645901,0.24116632,0.8368829,0.3898152,0.32518494,0.15240788,0.6154955,0.27148113,0.17680205,0.37611243
muP_SSM,2,4,0.21015774,0.20861232,0.615338,0.40659335,0.36613718,0.18054052,0.66957897,0.34643704,0.25174668,0.5550782
muP_SSM,2,5,0.2090338,0.18243752,0.4984138,0.29204798,0.21524154,0.21255276,0.712565,0.35557383,0.23413184,0.4541674
muP_SSM,2,6,0.24371783,0.16118091,0.4678804,0.29794717,0.28486347,0.222475,0.77303725,0.39112717,0.24350128,0.4413657
muP_SSM,2,7,0.26432177,0.33248872,0.7113368,0.35306847,0.36926544,0.2117505,0.6073468,0.24198394,0.17335545,0.31837612
muP_SSM,2,8,0.18757725,0.16259725,0.63089603,0.35241702,0.24973617,0.13136739,0.38998145,0.24824192,0.14950715,0.30365798
muP_SSM,2,9,0.22789107,0.1404832,0.48053947,0.2693134,0.22890036,0.15521821,0.4792015,0.27578804,0.21429126,0.42702913
muP_SSM,4,0,0.15193428,0.19123863,0.6139511,0.41725272,0.25958997,0.18582232,0.64803404,0.3812738,0.19481353,0.35137197
muP_SSM,4,1,0.22103241,0.19334486,0.62009,0.3779702,0.29639748,0.19489776,0.6350512,0.3074932,0.20578074,0.41026962
muP_SSM,4,2,0.17648369,0.24473527,0.80416256,0.548751,0.3660032,0.21919696,0.7733353,0.37595406,0.19260815,0.385545
muP_SSM,4,3,0.15896907,0.14642656,0.5669343,0.32777694,0.20300396,0.1273764,0.65375316,0.33100486,0.18054296,0.33566582
muP_SSM,4,4,0.17929931,0.20013806,0.6859429,0.47357932,0.31879112,0.16467632,0.61597484,0.35615212,0.24338497,0.46182743
muP_SSM,4,5,0.20251848,0.20867313,0.5730453,0.30475026,0.22534333,0.24515884,0.886205,0.4399541,0.2580672,0.4775772
muP_SSM,4,6,0.18182929,0.16573878,0.489245,0.30315962,0.23261647,0.19401707,0.7203384,0.37023208,0.19563821,0.37647596
muP_SSM,4,7,0.17447884,0.15521625,0.4966908,0.26998192,0.19869311,0.15285736,0.5041198,0.2833215,0.1776526,0.3189177
muP_SSM,4,8,0.17107646,0.1661557,0.55175316,0.3206792,0.2264769,0.13519886,0.53753716,0.23227237,0.13699816,0.32950294
muP_SSM,4,9,0.22137997,0.15703303,0.5584909,0.31633067,0.22942932,0.16695854,0.7876912,0.33089942,0.20737977,0.36776385
muP_SSM,8,0,0.15828487,0.20135595,0.77562934,0.45409262,0.33047906,0.17600018,0.5953101,0.2782781,0.17765415,0.37035683
muP_SSM,8,1,0.15603909,0.15953372,0.710794,0.4607723,0.27244088,0.15840544,0.5713577,0.29906076,0.19310707,0.3515959
muP_SSM,8,2,0.1687067,0.16621216,0.67244637,0.3709447,0.23115434,0.19637543,0.7343941,0.35208228,0.201033,0.37069023
muP_SSM,8,3,0.15712196,0.20834664,0.8245517,0.4206041,0.22868235,0.18955962,0.6839649,0.37054628,0.20740806,0.33807403
muP_SSM,8,4,0.17786272,0.22646396,0.88101363,0.5146173,0.29483107,0.18879421,0.7609736,0.38783503,0.21579553,0.4040788
muP_SSM,8,5,0.17770326,0.15855409,0.72407347,0.46001884,0.2929718,0.20771565,0.68059945,0.34528053,0.22487235,0.39438418
muP_SSM,8,6,0.20439564,0.12862423,0.45906162,0.25496882,0.20038693,0.15330216,0.6124433,0.30419195,0.21058105,0.4239016
muP_SSM,8,7,0.17883042,0.16256468,0.66440594,0.36451972,0.22813644,0.16743705,0.5880894,0.3095789,0.18337406,0.35236275
muP_SSM,8,8,0.18060985,0.16921708,0.6012735,0.33875313,0.21766303,0.16978757,0.54495424,0.30836898,0.17083381,0.35816845
