param_type,width_multiplier,rng_seed,post_encoder,ssm_state_0,ssm_output_0,ssm_post_gelu_0,ssm_post_glu_0,ssm_state_1,ssm_output_1,ssm_post_gelu_1,ssm_post_glu_1,output
muP_SSM,2,0,0.40128845,0.4005642,1.0845895,0.47275114,0.28318754,0.10730861,0.41416252,0.25667462,0.15535113,0.35873088
muP_SSM,2,1,0.4523177,0.22103582,0.64665544,0.3760083,0.35329908,0.18822181,0.67882997,0.35449022,0.22428657,0.44230995
muP_SSM,2,2,0.38511878,0.28159198,1.0147828,0.5992026,0.38957277,0.20411338,0.740722,0.37153724,0.2075726,0.4324314
muP_SSM,2,3,0.41271552,0.31530285,1.0626396,0.44102156,0.34510556,0.15792832,0.62319714,0.27473906,0.17912944,0.42113593
muP_SSM,2,4,0.3968882,0.29567882,0.8188268,0.5244062,0.42815498,0.19251956,0.7213606,0.3735658,0.26440522,0.40804908
muP_SSM,2,5,0.47304958,0.24914005,0.771658,0.4178588,0.26234558,0.22987227,0.7622833,0.378498,0.26195502,0.4056216
muP_SSM,2,6,0.44352594,0.22344463,0.64009637,0.38897303,0.30405194,0.23808925,0.7840639,0.39330217,0.24378006,0.41064155
muP_SSM,2,7,0.45982894,0.43837458,1.0115509,0.49107024,0.42489836,0.22259444,0.62883335,0.25166747,0.17004623,0.32698303
muP_SSM,2,8,0.4310592,0.24701588,0.9942289,0.53120613,0.3073961,0.14111052,0.4277978,0.26801836,0.13937135,0.3832338
muP_SSM,2,9,0.45840338,0.18508905,0.74346966,0.3937363,0.2666577,0.16912827,0.51406974,0.29199588,0.21729629,0.4402551
muP_SSM,4,0,0.36848798,0.28382248,0.8882878,0.57760376,0.31375372,0.21252996,0.7153267,0.41511312,0.19660705,0.3542507
muP_SSM,4,1,0.43795356,0.26473415,0.8033691,0.47417152,0.33535075,0.20179081,0.6554283,0.31598762,0.21415626,0.42592975
muP_SSM,4,2,0.34544426,0.36034298,1.1151242,0.70246434,0.39971548,0.23424537,0.83063483,0.39683127,0.19664319,0.33927983
muP_SSM,4,3,0.39244083,0.24725235,0.8867568,0.4811225,0.25391692,0.14467451,0.69201356,0.3487567,0.18243387,0.36850446
muP_SSM,4,4,0.3644093,0.32447127,1.066498,0.66182065,0.39094612,0.1886543,0.69223005,0.39347947,0.254986,0.35414594
muP_SSM,4,5,0.42975807,0.28099564,0.82117313,0.41685045,0.2414169,0.24635254,0.90008056,0.44484144,0.26444796,0.41361925
muP_SSM,4,6,0.38411766,0.21049781,0.667399,0.40786102,0.2707723,0.21828884,0.79528224,0.40188056,0.20741974,0.3583218
muP_SSM,4,7,0.3917524,0.24058932,0.76854247,0.41814128,0.25590992,0.18887372,0.59401244,0.3268735,0.19300324,0.3545938
muP_SSM,4,8,0.38201877,0.23805575,0.7407177,0.42756727,0.275604,0.15891542,0.6114445,0.26686114,0.14416997,0.3942119
muP_SSM,4,9,0.4187466,0.20784293,0.7392903,0.41168058,0.25752446,0.18371414,0.8269566,0.34101462,0.21643445,0.39073485
muP_SSM,8,0,0.3496267,0.3675569,1.2053005,0.64891934,0.40767848,0.20914382,0.6722099,0.3112387,0.18444607,0.3741398
muP_SSM,8,1,0.36097914,0.27882376,1.0502924,0.6292851,0.32842934,0.1808234,0.6111246,0.3154661,0.19708064,0.35719237
muP_SSM,8,2,0.34025368,0.24714941,0.96205366,0.48602477,0.26543352,0.20961662,0.77408105,0.3696614,0.2057761,0.34412292
